EQ,PE,RE,IG CB,HY CB,GB,MONEY
1095582.8746354354,1049684.9857127909,1078295.0303302188,1019827.2980640722,1027419.3655663634,1023082.7878091926,996454.2954799234
1094734.4806764373,1047233.8087345539,1070433.5359393945,1021367.1439906991,1028184.1578881363,1023741.4280282351,996454.2954799222
1099625.3450332566,1047554.0984459808,1065689.5108601085,1022999.9103364886,1029588.708149039,1022792.0200723661,996454.2401207852
1097121.404620156,1048861.857650292,1069841.111569335,1020031.9878936326,1031235.3958189861,1021901.2949702846,996454.2124412175
1088723.890572232,1049624.1537198173,1054730.539466819,1020206.748776517,1032364.5174788634,1020737.0829275441,996454.2124412174
1080097.4587112404,1041029.3808750684,1050273.60122657,1019389.6918372065,1031553.0564049901,1020159.8850677105,996454.2124412177
1084284.7989861756,1044368.8461071978,1070696.6533671718,1022716.0682747777,1032953.6887963422,1021142.8207890423,996453.9079660436
1089984.4430056051,1044912.7680793589,1076303.1729072686,1018729.2800236089,1034070.507391693,1016734.3485297073,996453.3543751417
1099325.766531997,1056624.3720202926,1082829.3871044957,1017299.2436958061,1036340.8607776847,1014863.0570424024,996453.2436569929
1116858.4338368222,1077368.0790267158,1090691.7288457826,1018883.4712857085,1039003.7555332985,1014518.9656624271,996453.0775797813
1112898.6578821319,1073240.2706416622,1076324.752332746,1021602.7847762719,1038259.345385232,1016045.0168827111,996452.4132576896
1113472.0800852259,1064661.0068659456,1084079.7083786298,1021519.8640924727,1036383.9650322761,1018151.1036053215,996452.2195010892
1108746.6975915097,1063511.2790719757,1066447.2349740057,1023441.944530693,1036515.5374704364,1019544.0550860837,996452.0811035519
1096795.6696278213,1053552.5087254578,1060317.6752229375,1025126.2005687633,1034869.7035530836,1022094.2339350634,996451.9980650452
1078065.6181918106,1035567.6040388913,1072864.2727817667,1026314.8885170809,1031737.4596557523,1024079.6091255853,996451.7766290478
1088861.572579462,1045334.3308801552,1073846.2005787895,1025237.242486142,1033003.501969943,1022001.3585000245,996451.1123077673
1100422.9024807606,1057306.0314071926,1080809.860710524,1027057.4081946749,1035933.7830525937,1021104.7028499976,996451.0569488127
1105241.1951760533,1066275.5582561768,1083107.8756125337,1025427.6424346933,1038870.8810101292,1019450.6612839022,996450.946230912
1103250.9444094703,1073646.0141242004,1089629.204761515,1025936.0149955918,1040820.3319420326,1018928.1497226852,996450.8908719632
1103625.0255303052,1073114.880588559,1098546.8128247664,1028505.7592463364,1041520.850284072,1018552.8348875601,996450.8908719622
1124255.5797999552,1090876.1781573503,1088743.4546476437,1029689.4873361719,1043980.7425098597,1019852.3855827757,996450.8078318427
1119114.9564522554,1071726.0058805856,1086902.3229545262,1031668.8288095352,1045900.3465627681,1017179.9959625973,996450.8078318433
1114633.9898581137,1064227.504329344,1082966.9226923098,1036073.8470794617,1045956.8868278885,1018670.027137049,996450.6971139583
1145605.461368618,1088208.0521327506,1090219.3914909353,1034672.3221166789,1048649.6941861538,1018345.2113888287,996450.6140755498
1160640.4493035027,1097393.44563317,1099421.6248935664,1039947.4078786712,1048727.355263742,1021987.7070949482,996450.531037155
1141721.891777767,1093487.4904517815,1103007.5524289336,1041890.1214709448,1047451.4174386025,1021465.6000719442,996450.4479970725
1157714.7530245625,1101484.6661001467,1101743.6008531826,1039604.9291047063,1047960.699989074,1019723.0808741479,996450.4479970714
1156191.8150808674,1103620.3353620763,1095297.1358385135,1041765.2451326953,1048570.6673916031,1023145.2776790652,996450.3095997734
1143825.4855441498,1099619.6594818616,1082695.770708569,1039434.6821790879,1048095.9010260067,1019634.7375001713,996449.8113698013
1158582.7623057477,1111566.3681237053,1083244.9717109336,1040388.373368283,1050275.3167764454,1019655.0112103242,996449.9774464414
1167809.705114171,1135089.2396555762,1088841.6940674633,1037716.6113591116,1052199.7170240793,1014753.8779047349,996429.6330542621
1153265.3600924173,1111344.977207693,1082345.1729970693,1040401.6473963078,1050167.1434228884,1018813.5172638157,996429.6330542604
1173978.5539371164,1128306.741855249,1088646.5604539313,1035690.6598256815,1051138.1543327451,1015183.7397972188,996429.633054262
1175235.9249325963,1128384.9466937692,1083780.4981160962,1036220.8884210384,1050842.1465970292,1017362.2012311061,996449.8390492154
1165875.3353927291,1123436.6436180621,1077640.9959105158,1037173.7306451036,1050273.4584840385,1019583.6016849237,996449.7836903278
1170996.0523271936,1128498.1711632365,1071476.7103399376,1036197.4416122626,1050501.7761736708,1018215.8717121377,996429.162506563
