EQ,PE,RE,IG CB,HY CB,GB,MONEY
1215656.6777280425,1264836.174654607,1163138.0598321576,1119378.2148302027,1104867.3712894032,1092189.7588886844,996127.0894593499
1211647.583981592,1279922.6255198973,1172257.280931402,1122432.6875540516,1108678.3175128105,1093157.6574108326,996122.3578080961
1198198.0918625302,1283949.3325771203,1173182.6149656533,1122157.8609492385,1107210.198809563,1092061.8680736048,996117.7091899618
1205657.0249238207,1298053.6952006703,1191409.089497654,1122159.078130406,1106395.8553653953,1087849.974893601,996113.0605937787
1188039.5761132475,1296898.80401171,1196387.3165276048,1122009.592138333,1106545.0613964994,1087481.3780365358,996107.9969699648
1163107.985629757,1259929.6276348361,1195506.8691073072,1115774.225255359,1101669.9127967374,1077951.1061164045,996092.5568392415
1184021.7790531046,1289686.2388431209,1198437.9253911013,1119619.1482512082,1102567.622755674,1082455.9929241396,996087.8530206197
1193907.5677341383,1310128.706143128,1200396.446670612,1116895.7390811243,1104804.8569166756,1080153.6858681848,996082.8171930624
1210067.5558962654,1349926.724615611,1213970.5479937836,1115834.3699304196,1110893.6612181014,1076068.9222851326,996077.8090600666
1241132.032719276,1370314.0712932916,1218694.0539164734,1114665.994977715,1110991.7809302756,1076577.0599948312,996072.7732831478
1243090.3611563372,1391825.6838434318,1236653.7425124883,1116056.2007355865,1113972.1769336483,1077465.5446439025,996057.5827201696
1232516.0663799099,1381687.3700190282,1234721.0138307777,1116577.989228608,1113701.7353200885,1078002.3232705188,996052.4917082812
1226990.5441421692,1370579.6578684354,1214214.099725911,1119165.7018716366,1111949.6733357229,1079063.3953772406,996047.4007224134
1229981.517216337,1376894.5360173779,1200655.020723085,1113072.5121836376,1112433.7780227857,1075331.4385210196,996042.3374306865
1248137.0659950182,1402321.50589037,1214758.8293016327,1117038.7484221798,1116252.3969082483,1078913.772997092,996037.3295007987
1280475.1728656427,1458578.5030994397,1241133.8748789993,1112919.5533220249,1119732.4682713423,1077717.1619950456,996022.4714932748
1285272.8147373756,1459282.525909998,1234010.8540334988,1112402.7500908244,1124450.0905755495,1078352.4576238282,996017.7680060085
1303791.329738474,1477073.0621952424,1232223.8814022134,1108833.8517696392,1128363.568696044,1072582.5833387377,996012.981538494
1329364.1159004897,1510919.4114418891,1248710.0099509433,1111652.880155168,1137068.540511537,1068743.4934668154,996008.0567581195
1358438.7358717846,1504268.116250117,1261635.2087769753,1113537.2462670521,1140544.2392874754,1071203.2549222792,996003.4640065891
1382715.8399087214,1501135.6114627873,1267981.5652386278,1111349.6249928793,1142604.0154827032,1070618.5091045112,995988.8555065722
1337419.157536743,1478407.3467922301,1303333.9064414694,1113357.706624009,1142975.312321893,1068172.8435919748,995982.9348510578
1333769.3124702203,1474724.1350260992,1308361.6322020548,1116070.1780296592,1141351.8225729929,1071251.9043069186,995977.7612220172
1312948.7861851586,1470819.613347413,1293700.2362847098,1112637.2127558547,1140387.0369999756,1066213.6063326297,995962.4061093311
