Realized_Delta_BOF,SCR_Values
35782.66564458003,-121600.92569317351
37597.47628142475,-126759.02531914222
38935.209231416346,-125103.09151731033
45404.970924445195,-121142.104711371
44260.314779337496,-133694.43784169506
47418.551962888916,-124838.8832138566
46163.1284985824,-129777.7142409054
45697.62916886341,-123532.84273606227
44337.868377946084,-126240.82768597965
45173.34943135886,-125694.77376265213
43169.75878886413,-125833.02089983202
40322.36380669649,-122970.22085087498
36051.65429526847,-124537.4410395925
34676.82790972188,-129665.84712060806
37063.69362348202,-122328.1081739907
34466.81034780585,-123054.48711497214
33661.568905540626,-119386.79989944128
24060.73536456027,-132827.5660732841
25764.111311459215,-128570.73838900881
23902.601148148533,-119198.84331050779
27462.137578605558,-127945.33450346826
31690.873293884448,-125196.33791442856
39801.86183540709,-125128.79775608178
46378.04197272658,-122197.10755472239
44655.406508287764,-128698.65561554384
48855.69262606464,-126790.86990163875
48901.20053365966,-126091.96769166274
52634.56301375851,-130380.56993446995
50177.54976718861,-128819.42593628817
50841.382994151674,-122456.33186225446
53735.653397405054,-120179.58470823854
54324.42417207395,-125102.84908845436
54540.964922504965,-125848.99888112828
57907.22004924889,-121987.70238684281
55727.25646229717,-128801.98986461086
53307.742334524635,-120454.48703330402
53475.40482888266,-123769.51854605867
53068.97589918994,-122680.2685674181
53857.4183136659,-123052.46635703705
55416.13192812819,-122870.104917913
60350.889867480146,-121384.03424828468
56971.130451406934,-126605.02590599634
56140.29176862759,-125730.52927879037
58682.69445363013,-122599.72666569338
56826.8556189806,-123811.99336623434
57475.93006293033,-121738.07608208667
59714.51523525128,-118623.11629356416
56423.70722756197,-130688.6630053651
59089.02839536872,-123939.49519019152
55778.25505452743,-125210.42534483406
53793.89732740109,-123393.44747539202
55321.90725853015,-124611.2106462191
56917.87698823982,-122058.13626153303
57495.738705677795,-117121.383517096
53379.00545072823,-127688.2974985076
51035.40033087018,-123107.82253515464
52689.412507228786,-122777.31142877963
50687.5033145108,-122870.83507626288
56174.17380264925,-124409.66216533702
58142.20861011883,-117982.10770733062
56249.582264435594,-125450.33965978662
52787.804064724594,-119365.4425480297
55872.3773220405,-125536.29794235072
53389.77796325809,-127604.90138326379
54605.08228181419,-121124.28997223735
52021.32372164051,-119630.93857601457
53372.55524383229,-125348.66704218763
55995.08309789887,-119863.84792277239
52954.729796860134,-123346.50466019695
49817.30317342316,-122291.27681736302
52061.5552026931,-126630.70400036914
50971.16787378816,-127181.69252589718
48852.34612470004,-123073.55599277621
47716.01594600815,-123807.12412530475
47392.41019530303,-123629.82952100296
48064.842011391884,-119032.88956721823
43218.787127928925,-122336.1896383977
43329.623139016796,-126263.61769205885
45009.82182400103,-118536.39111102329
