SCR,Realized_Delta_BOF
"tensor(545713.7090, dtype=torch.float64)",899369.2813740355
"tensor(528104.3127, dtype=torch.float64)",901746.5122679312
"tensor(543335.2967, dtype=torch.float64)",950923.7091452979
"tensor(540876.4735, dtype=torch.float64)",979097.1835954719
"tensor(546518.0088, dtype=torch.float64)",981024.2296692082
"tensor(536834.2586, dtype=torch.float64)",997551.9879879663
"tensor(551472.2670, dtype=torch.float64)",987204.7689552433
"tensor(537723.2079, dtype=torch.float64)",952993.0969630972
"tensor(524794.0195, dtype=torch.float64)",945717.8199810869
"tensor(546905.0849, dtype=torch.float64)",914342.2375259362
"tensor(521408.7901, dtype=torch.float64)",923454.7015722037
"tensor(545493.3780, dtype=torch.float64)",935122.1810374738
"tensor(531977.3536, dtype=torch.float64)",960352.8528854258
"tensor(518587.2174, dtype=torch.float64)",967972.4825731729
"tensor(547565.8508, dtype=torch.float64)",973870.36235023
"tensor(525726.2126, dtype=torch.float64)",959956.3151859388
"tensor(535315.6348, dtype=torch.float64)",963635.2780922783
"tensor(513175.8621, dtype=torch.float64)",969139.7779971664
"tensor(539229.7183, dtype=torch.float64)",932244.3122418086
"tensor(533781.4481, dtype=torch.float64)",923121.0406376462
"tensor(540548.9706, dtype=torch.float64)",920836.5520653459
"tensor(537632.1196, dtype=torch.float64)",899178.1757636621
"tensor(550378.0534, dtype=torch.float64)",899893.0956740839
"tensor(532366.2678, dtype=torch.float64)",919254.4859212289
"tensor(529806.2202, dtype=torch.float64)",928566.7190587351
"tensor(553523.4508, dtype=torch.float64)",922089.6242179187
"tensor(535603.3768, dtype=torch.float64)",942580.4758684449
"tensor(531164.5550, dtype=torch.float64)",930315.3241734339
"tensor(528250.9909, dtype=torch.float64)",926470.87034089
"tensor(539938.7123, dtype=torch.float64)",916069.6509989637
"tensor(534905.5889, dtype=torch.float64)",936342.0540130694
"tensor(531577.5223, dtype=torch.float64)",931352.3997299753
"tensor(515511.7761, dtype=torch.float64)",921304.000034228
"tensor(526844.9893, dtype=torch.float64)",921964.3673300331
"tensor(534381.0634, dtype=torch.float64)",914063.0694364118
"tensor(518983.2046, dtype=torch.float64)",907419.9496206645
"tensor(545290.3043, dtype=torch.float64)",909799.6254920244
"tensor(534086.8282, dtype=torch.float64)",920787.3821437139
"tensor(520149.7990, dtype=torch.float64)",927965.8020763089
"tensor(548187.9145, dtype=torch.float64)",913012.5035727589
"tensor(526299.8233, dtype=torch.float64)",915503.1206724889
"tensor(525431.2710, dtype=torch.float64)",910908.0575350903
"tensor(540977.7485, dtype=torch.float64)",924677.8881374628
"tensor(526953.4875, dtype=torch.float64)",941893.417255163
"tensor(541420.0707, dtype=torch.float64)",942473.2692133446
"tensor(542340.4976, dtype=torch.float64)",953932.2604956372
"tensor(537793.9591, dtype=torch.float64)",949730.9181452609
"tensor(534694.8408, dtype=torch.float64)",953917.8301248583
"tensor(531766.4142, dtype=torch.float64)",968341.8197919034
"tensor(547390.3289, dtype=torch.float64)",965111.3008999396
"tensor(539387.1400, dtype=torch.float64)",975032.4168408841
"tensor(521928.2744, dtype=torch.float64)",981547.0473948177
"tensor(531637.8282, dtype=torch.float64)",981722.6668079977
"tensor(539066.1054, dtype=torch.float64)",970920.7270692602
"tensor(548586.4183, dtype=torch.float64)",960979.5046931402
"tensor(530810.6408, dtype=torch.float64)",964857.9660608512
"tensor(539027.6678, dtype=torch.float64)",949477.1329638148
"tensor(529599.1072, dtype=torch.float64)",934774.04809403
"tensor(524733.6582, dtype=torch.float64)",928503.7480223923
"tensor(540672.8861, dtype=torch.float64)",955675.174937941
"tensor(553875.1855, dtype=torch.float64)",945240.6339411121
"tensor(532563.4195, dtype=torch.float64)",947738.3227278733
"tensor(527142.4578, dtype=torch.float64)",943516.8157524192
"tensor(538519.8387, dtype=torch.float64)",942217.2006973767
"tensor(527409.4457, dtype=torch.float64)",936713.969231037
"tensor(526624.3364, dtype=torch.float64)",941858.3844580832
"tensor(525225.6820, dtype=torch.float64)",931812.0651766269
"tensor(555038.1649, dtype=torch.float64)",939932.132246146
"tensor(530226.3512, dtype=torch.float64)",951956.0521954789
"tensor(535819.1087, dtype=torch.float64)",961136.938435228
"tensor(539880.3103, dtype=torch.float64)",929013.8991056624
"tensor(540794.3837, dtype=torch.float64)",930470.073946199
"tensor(530871.2454, dtype=torch.float64)",929385.0461418328
"tensor(552251.8194, dtype=torch.float64)",920001.3548045794
"tensor(539032.4456, dtype=torch.float64)",927322.4971652118
"tensor(528849.4417, dtype=torch.float64)",922106.9294758848
"tensor(537974.9081, dtype=torch.float64)",927027.8161443776
"tensor(549047.4211, dtype=torch.float64)",920741.1833893543
"tensor(531601.7356, dtype=torch.float64)",903694.4946163784
"tensor(518200.4244, dtype=torch.float64)",876530.4684178999
"tensor(549600.5874, dtype=torch.float64)",874107.013585904
"tensor(533317.7593, dtype=torch.float64)",864160.283611953
"tensor(530009.5715, dtype=torch.float64)",848704.4171006802
"tensor(552857.1181, dtype=torch.float64)",846345.6271544842
"tensor(523521.5448, dtype=torch.float64)",861069.5900687826
"tensor(520987.7467, dtype=torch.float64)",854090.3841472346
"tensor(524797.7666, dtype=torch.float64)",881146.1966143876
"tensor(535072.9483, dtype=torch.float64)",884551.1174448937
"tensor(547509.8153, dtype=torch.float64)",880672.6120424082
"tensor(535301.0344, dtype=torch.float64)",882034.8313471063
"tensor(548844.5341, dtype=torch.float64)",896312.7764058707
"tensor(518712.2830, dtype=torch.float64)",879327.667754929
"tensor(549115.2530, dtype=torch.float64)",888337.9834348398
"tensor(533435.2479, dtype=torch.float64)",869862.7439423266
"tensor(540488.3409, dtype=torch.float64)",879601.5927634009
"tensor(547314.7667, dtype=torch.float64)",855709.9077137093
"tensor(549264.5083, dtype=torch.float64)",854208.1464650356
"tensor(529448.8606, dtype=torch.float64)",845468.1213796901
"tensor(551839.2413, dtype=torch.float64)",831899.1431370868
"tensor(557505.4897, dtype=torch.float64)",841623.8709004227
"tensor(532898.3001, dtype=torch.float64)",843883.9776895612
"tensor(527221.7422, dtype=torch.float64)",830813.5504472662
"tensor(551072.9497, dtype=torch.float64)",836069.0749825772
"tensor(547779.4101, dtype=torch.float64)",839896.8330964134
"tensor(538519.4934, dtype=torch.float64)",825059.4130239196
"tensor(536412.4151, dtype=torch.float64)",815382.4545186748
"tensor(546902.3565, dtype=torch.float64)",784871.1995534928
"tensor(542961.5194, dtype=torch.float64)",792828.8884605963
"tensor(546341.7688, dtype=torch.float64)",801776.2764292087
"tensor(520848.2821, dtype=torch.float64)",803146.7247144578
"tensor(540186.1345, dtype=torch.float64)",819840.5943036792
"tensor(559293.3229, dtype=torch.float64)",839270.8973372162
"tensor(549290.5829, dtype=torch.float64)",850071.0562468112
"tensor(518447.2548, dtype=torch.float64)",851427.4044578067
"tensor(545002.1717, dtype=torch.float64)",880952.636643932
"tensor(537062.2800, dtype=torch.float64)",892138.3823454407
"tensor(533174.2392, dtype=torch.float64)",910799.4751756208
"tensor(551740.4090, dtype=torch.float64)",895023.1408539298
"tensor(545891.8927, dtype=torch.float64)",888657.7384844084
"tensor(516246.5705, dtype=torch.float64)",889441.8325490125
"tensor(538892.1895, dtype=torch.float64)",889150.69590408
"tensor(532793.2946, dtype=torch.float64)",903596.498083747
"tensor(534795.4066, dtype=torch.float64)",904368.099897553
"tensor(549897.7165, dtype=torch.float64)",901216.6176467539
"tensor(522136.4532, dtype=torch.float64)",890599.2273082985
"tensor(534842.0079, dtype=torch.float64)",883672.732890262
"tensor(556965.5958, dtype=torch.float64)",886826.8013464832
"tensor(565432.7194, dtype=torch.float64)",884582.6483920029
"tensor(527043.2603, dtype=torch.float64)",881536.6931091772
"tensor(537806.2794, dtype=torch.float64)",891639.3593562214
"tensor(524747.4528, dtype=torch.float64)",894844.3535728558
"tensor(541950.9654, dtype=torch.float64)",885560.4687098993
"tensor(538446.1247, dtype=torch.float64)",887138.4961224563
"tensor(542265.2197, dtype=torch.float64)",881144.2759942573
"tensor(534266.3779, dtype=torch.float64)",875834.346702467
"tensor(537783.3383, dtype=torch.float64)",877536.0475360465
"tensor(551921.0346, dtype=torch.float64)",875749.462850066
"tensor(540150.0103, dtype=torch.float64)",888713.8709163486
"tensor(536022.8612, dtype=torch.float64)",877434.0136275103
"tensor(531037.2154, dtype=torch.float64)",870801.299664611
"tensor(529568.0235, dtype=torch.float64)",882657.0541434987
"tensor(529332.8578, dtype=torch.float64)",893328.8074328906
"tensor(536372.7929, dtype=torch.float64)",895164.952227628
"tensor(544010.3862, dtype=torch.float64)",874517.1106967025
"tensor(526299.9919, dtype=torch.float64)",855452.4509716692
"tensor(534917.2993, dtype=torch.float64)",861894.0079703714
"tensor(551315.7000, dtype=torch.float64)",870268.1717641024
"tensor(537065.2843, dtype=torch.float64)",878594.5177651587
"tensor(545296.6779, dtype=torch.float64)",877416.2282339485
"tensor(554712.4513, dtype=torch.float64)",885792.0834578505
"tensor(544446.2344, dtype=torch.float64)",879543.6899105203
"tensor(538629.4543, dtype=torch.float64)",885609.5329150894
"tensor(545462.5734, dtype=torch.float64)",874491.4704373936
"tensor(532949.3354, dtype=torch.float64)",886680.2020957837
"tensor(546466.0195, dtype=torch.float64)",879413.8859970676
"tensor(542575.3085, dtype=torch.float64)",875215.7352423136
"tensor(535633.6593, dtype=torch.float64)",876040.8418234906
"tensor(544679.2564, dtype=torch.float64)",864472.4370685418
"tensor(565901.3216, dtype=torch.float64)",860531.7628566052
"tensor(554389.8393, dtype=torch.float64)",861070.3688588442
"tensor(554995.7592, dtype=torch.float64)",868120.1959452627
"tensor(517791.9839, dtype=torch.float64)",860875.8349274991
"tensor(552842.2450, dtype=torch.float64)",863293.6403035824
"tensor(554938.3473, dtype=torch.float64)",855143.1570459311
"tensor(536372.0468, dtype=torch.float64)",858564.6588890814
"tensor(539666.1852, dtype=torch.float64)",835213.5369093926
"tensor(543132.0461, dtype=torch.float64)",848355.0462371431
"tensor(550661.6782, dtype=torch.float64)",842937.8912715934
"tensor(552219.5328, dtype=torch.float64)",845050.1364214801
"tensor(524505.3642, dtype=torch.float64)",853797.344840098
"tensor(543134.9227, dtype=torch.float64)",851946.8944283369
"tensor(542514.8705, dtype=torch.float64)",849028.2713857493
"tensor(534023.7368, dtype=torch.float64)",851422.6017751013
"tensor(545103.1684, dtype=torch.float64)",857023.0815843304
"tensor(554320.9339, dtype=torch.float64)",849441.9772126359
"tensor(532498.0949, dtype=torch.float64)",848123.2237062892
"tensor(553861.6760, dtype=torch.float64)",840203.9677742268
"tensor(554217.2644, dtype=torch.float64)",827229.8432679347
"tensor(548509.0367, dtype=torch.float64)",829210.3934295687
"tensor(544425.0905, dtype=torch.float64)",822963.602628952
"tensor(546779.5583, dtype=torch.float64)",808267.9519850722
"tensor(552712.1450, dtype=torch.float64)",809558.8011173204
"tensor(555785.1507, dtype=torch.float64)",814575.4899825872
"tensor(552647.6663, dtype=torch.float64)",804439.6339637311
"tensor(538955.3591, dtype=torch.float64)",810908.6059869556
"tensor(544012.0567, dtype=torch.float64)",801321.8835996191
"tensor(537970.4742, dtype=torch.float64)",814761.5401000986
"tensor(533308.2403, dtype=torch.float64)",830933.9718108748
"tensor(548440.0418, dtype=torch.float64)",848224.4778075173
"tensor(540808.8299, dtype=torch.float64)",881204.8304613654
"tensor(551270.3433, dtype=torch.float64)",918331.3745416111
"tensor(533803.5610, dtype=torch.float64)",906525.5885150225
"tensor(558822.8381, dtype=torch.float64)",899208.4900036224
"tensor(566542.7572, dtype=torch.float64)",879862.9413258425
"tensor(552545.6775, dtype=torch.float64)",884921.0819733829
"tensor(549534.5400, dtype=torch.float64)",920755.3149912079
"tensor(552774.6331, dtype=torch.float64)",956872.3651818479
"tensor(532458.7255, dtype=torch.float64)",996408.1057406841
"tensor(565867.7096, dtype=torch.float64)",1003276.6100771308
"tensor(572815.1113, dtype=torch.float64)",1140122.5310729728
"tensor(531609.2401, dtype=torch.float64)",1164554.6966008288
"tensor(526828.4311, dtype=torch.float64)",1285665.9177525868
"tensor(511144.5448, dtype=torch.float64)",1334494.9073099517
