realized_delta_bof_values_1,scr_values
102197.9638394938,-107887.21616784856
95867.86087356484,-112267.69422975027
94531.31452664884,-109669.92403305431
92499.20137895644,-112014.64838214371
91863.35061195912,-107884.98274214438
93876.17125510157,-110055.094691035
93877.23984106084,-106250.49523174875
99814.38719357968,-105559.48378188546
98780.01403594144,-112955.95597634302
100262.13818056416,-111665.6831770995
102015.67173369764,-111038.32517221243
96608.12303718494,-108611.99406549912
98669.9034951066,-113963.53836181613
92834.82455845166,-109422.55048416066
95126.42916455212,-117960.8825681683
91917.54941876454,-113893.5701411543
97984.76154061592,-110652.46682883803
97309.98055930527,-111113.04334926019
100667.87318291108,-113858.64599294266
101710.36642795708,-118022.018850389
101186.20804790944,-116396.6796484345
100829.85534378688,-109761.17694323133
100816.57591149933,-118818.05855920014
100640.57641157636,-117614.20347640646
100970.00980413926,-118040.5345024594
96053.92709443824,-119515.6732019856
94383.74209626962,-118274.30614693195
90811.19469159668,-121608.81089802373
96364.35285592638,-121711.28100473242
102102.85627144948,-129659.66958759882
105775.83405554607,-135424.78052647522
106449.27002900129,-133688.7342401014
104002.8858182457,-131267.69615527082
105007.6597217254,-135339.88487833642
105811.9254294996,-138699.1278153613
102994.20639661548,-133367.48984284536
98794.64939478449,-135812.59197410077
101842.16047444078,-135131.57563522906
101104.07703338005,-132169.82322824953
101050.60691785126,-135789.0388256384
102075.02856601018,-134667.48064325083
102864.4202450352,-130729.92668961937
100916.64968503524,-131046.98389263696
104958.97074172997,-133076.45304819528
106194.42446288862,-132457.23302046055
105704.87124036124,-133005.85363445312
108361.09604052432,-136900.47255033298
109166.1781727994,-139168.01080200815
104575.8461252672,-135635.44272761917
102476.4826920348,-137376.93763140042
99646.72031988786,-139201.58852638036
104899.65427373956,-134146.1362897822
102047.4516551249,-131897.44758844265
103694.39586545026,-139106.52999965768
100928.61604766943,-138561.83144380202
101109.90741230058,-135257.20612714192
101618.85243102048,-137989.74952982742
94759.0258727508,-137693.4799541759
96419.48255616624,-139409.70306350334
103374.20889662892,-132347.2522308373
101088.98802224582,-142422.33837907965
103624.58283571468,-133744.73295466267
102265.0018817354,-139405.60189439086
96515.71264529426,-137565.6255273251
93351.85229000857,-134869.22028522618
94186.32306340792,-138957.36111219056
91573.62445534776,-137645.17921594242
97204.82069644437,-134258.01931215645
100649.96110968222,-129003.99960252397
97809.41206167266,-126754.21244763148
102464.60979939227,-132205.95038482643
100469.64997877624,-143070.7665098938
94723.49031962804,-138451.32678961332
91252.22023390456,-137431.9538094292
95085.77623649688,-135217.2251542389
93875.00360180018,-136865.49462547875
88945.43669321248,-136991.70904323086
89496.6561155488,-140845.7117632751
79065.20667461294,-137052.96427264222
80267.22144734708,-136986.4471318267
76623.09952391498,-140455.47108832325
76020.4689134442,-137588.5453079292
70677.43956851505,-140170.8457039617
67601.38907782605,-141380.37903815001
66193.45757147693,-133564.32712891485
69625.86607340968,-137148.6381145553
68338.10361317534,-137853.33485071769
67608.76251102483,-136691.9021478343
70628.69017874158,-133844.39506711284
75080.67057830922,-135110.7431704961
84065.7976592494,-135872.69915548802
86081.59911590687,-135105.48970682884
84252.87180152396,-139623.61229224366
87453.55931554188,-138338.1071156076
88129.24806262844,-136477.07896918888
96732.5332661766,-136279.14422933798
94189.79092672036,-138565.41513623574
98011.68527582916,-138469.60676656727
95509.20463375223,-138704.23548420254
94465.18924200418,-137944.59239786133
83388.19316130783,-136045.7192172003
77153.98557665164,-134460.59595795066
78383.18427748838,-130696.92845911515
78775.64830566396,-128305.30610775588
78945.96235956566,-130688.81413961336
79543.44132806931,-129864.00819058473
84335.90653137176,-131987.2541257591
80590.882471891,-129332.94200697551
78663.52250505704,-135924.12341232438
73791.92247596313,-131145.06248928365
74089.92933010019,-130228.38452965819
75175.8802350302,-132901.26930092848
75244.94923461578,-132256.06865387227
76299.95880664629,-132557.55604560493
73175.66143475473,-134364.2502922542
74853.26443684741,-134891.45350629595
77284.42695963162,-135862.4947765099
74011.43589707231,-139074.39972964194
70155.32643547258,-128968.23607194277
73049.54094050417,-157750.42295202657
75531.6644556839,-161328.42530047026
68200.34001552407,-157485.79435407947
68888.74896332226,-159056.90959247726
65745.92743253068,-162293.80446538088
61260.16479234106,-158420.2262706641
65523.16022072954,-164583.74726523692
66067.0444480083,-160490.4912720188
68004.27589465945,-160408.28322780802
73851.02128940576,-161376.10915668687
73162.66872466356,-156062.68497501183
72956.32543224155,-164870.51904573783
68280.88615008595,-158108.85477280323
72922.79278242658,-155745.7371668772
73361.29128768574,-159835.9932127984
71833.20853302779,-158453.2204957044
66722.21374155651,-165150.36672327746
66581.87693869614,-168329.3319469817
65910.84698771173,-169544.7841245142
64002.88585766708,-166614.48225616632
66361.63345741178,-166131.3509289282
61578.68101327261,-169924.48629574294
64286.62068872969,-166328.74962132965
63473.50162173656,-168389.66732899
60993.42291144084,-166621.34320569222
56156.19222408894,-160914.76660852713
50449.840628862265,-167521.64736064384
50891.96795482677,-160997.98529316814
54308.04787335941,-164065.56996398285
52111.719813705306,-166198.96074021587
49464.50230443105,-168074.63165518694
48142.94472969568,-167798.90645376622
48039.2934479214,-164293.05082698795
42045.61293191789,-168425.3698856804
38279.28652686591,-171063.66690383674
42239.53240204998,-174217.09954806385
39906.02990782692,-168505.44792010458
34900.90855458751,-164540.07714286863
32889.44753158954,-170480.66266788292
35621.68513606477,-172650.45449732066
37057.58573021437,-172402.84706724834
43966.04613193241,-175202.87666233061
41029.60361637932,-166147.8134281866
38178.47077696864,-172308.59698521593
40557.97555428359,-170017.79838993723
26322.66840640968,-162398.66754384388
19850.278696999536,-166537.07034948826
16457.792372542666,-170725.53558962952
16075.52597277006,-171493.18906192176
23086.28129194607,-170486.71372910356
15951.358751995838,-170583.0897208109
13679.99488303659,-168457.89755645374
11321.10966259602,-167997.7239219692
14154.058673851774,-168614.2635177876
16085.230661647394,-169773.4932777306
17136.547122452524,-172211.66320301793
17993.231346173678,-166971.11513948799
16379.197492867825,-167553.39182654975
14464.18656308297,-166537.48424562844
11720.921067099902,-160518.79047151806
21262.48356736056,-154785.28753831278
26767.09251852985,-166990.94680028828
20895.17915849539,-165952.48857735438
27308.721091206884,-165250.2783291779
31549.545623737387,-165318.54331245023
30084.579226095462,-164640.37682297628
29387.023857625667,-160235.5697491189
19589.695528062643,-166051.23725071244
9621.16100489546,-157703.12071991424
10705.693024776643,-166006.24504150017
2440.3604718637653,-156367.4236171275
4968.730582449352,-156142.1576345414
-2692.9264741161605,-157908.43635096957
-1445.8319116944913,-157946.6072136032
7648.012858015136,-157461.8154801077
14597.525577205466,-156216.7865566409
18259.14526409749,-154333.05151341765
12172.228741179686,-157498.1485628324
11839.381228310987,-158742.05597871274
9566.12325070938,-160011.26197341527
8359.023069699062,-153926.3434688408
6276.810525484616,-160742.32321473694
9052.49127094145,-160112.59517073265
11171.035403868183,-159214.32468698392
8843.630059274845,-156665.08978363554
4127.58556444163,-157850.67360017975
3156.440459917183,-162623.54910516727
6947.449560905341,-157732.97062448578
-989.38134466263,-160581.7021686958
-6392.867331235902,-155180.0357800546
-6866.785949821817,-157892.23137376073
-8677.957479352248,-156110.25186410584
-14103.518138665124,-157616.191017886
-19002.2434924884,-159300.31134615114
-16216.061930593336,-161414.35119866542
-17626.63445168268,-159899.24965391564
-19917.92265557917,-155530.6812740439
-18519.74161473906,-165214.87600693994
-23838.87636783067,-160713.2391121592
-30612.445428187377,-161050.9848411349
-28713.468981491867,-160301.44744981252
-29885.81077297684,-158098.8257268504
-27965.73629272857,-162367.32130709526
-27334.193905677297,-155552.5879861021
-34103.91613794211,-161941.4863560143
-38204.128282503225,-160454.00536524522
-37222.4803050803,-155524.8087748237
-37072.10362111498,-160468.57457800343
-44735.42834729771,-156564.9890553714
-53827.14591946523,-160804.54365006
-60191.63644228748,-156943.27414117582
-50209.69508117798,-160532.3502078425
-44256.23238018202,-159094.30489427684
-39963.37839425285,-157435.46092617678
-40849.21665787685,-162286.43752817638
-39072.27419865818,-159603.1310293145
-40792.37584881869,-162659.44133286967
-42348.70965676231,-155214.58991099935
-48040.00921813701,-158083.69964963087
-47964.20899384492,-157781.68248767938
-50141.580334491446,-159637.09705358584
-52823.81243927463,-162917.62735720267
-51723.6386552488,-166095.9374890539
-48651.45857181528,-159456.1985392568
-43437.3892569337,-163731.44287979012
-44720.3235430537,-163994.89550661252
-49482.68673517858,-160663.15694324175
-55438.66400326789,-162565.458810535
-54720.4401745107,-162653.86920626598
-62001.61221691605,-164285.58334338872
-62748.3486929615,-161654.29817791906
-61663.9794260494,-157804.61281977902
-67929.70381498092,-160772.74144361677
-76576.48251220444,-159972.22005919687
-88251.46343712322,-159954.26463944282
-104391.97030761326,-156484.47085305877
-109274.70778986532,-158319.02800853152
-100927.72513165195,-158429.92390271454
-111371.09543116158,-159218.77260099794
-106597.04503287443,-157429.7610108064
-108669.51393977436,-160040.8857805962
-109133.57876224384,-159910.74752111908
-104205.8869376703,-161188.46871195218
-99855.72252366717,-158452.10385777155
-93254.71514088986,-157523.72571482157
-97480.58124164444,-160331.8322610048
-101180.18487990984,-165070.40081995266
-101141.64848105446,-160034.64963018926
-102579.30688809126,-160142.15313591107
-99481.24585570324,-163619.31136971174
-104335.77744178858,-160984.6753601881
-100429.99751076067,-159296.0867830463
-99666.87698499812,-161413.50526292718
-94956.85100506723,-153788.50846943943
-97483.76180107192,-160789.13751204658
-97760.12262778915,-163241.48637181855
-93337.59013649286,-160423.44237885953
-96212.8018970869,-161830.3631528526
-99169.49036408646,-157602.37589140525
-93793.76703548175,-162921.78412940013
-93758.97903813377,-166333.67405054855
