SCR,Realized_Delta_BOF
"tensor(998203.5135, dtype=torch.float64)",995238.6154714539
"tensor(998216.0761, dtype=torch.float64)",995230.5705696653
"tensor(998788.3226, dtype=torch.float64)",995246.024762731
"tensor(998411.5464, dtype=torch.float64)",995241.214357504
"tensor(998038.6720, dtype=torch.float64)",995205.9935176941
"tensor(998110.2803, dtype=torch.float64)",995200.9897929397
"tensor(998197.2045, dtype=torch.float64)",995196.0137371235
"tensor(998897.2039, dtype=torch.float64)",995211.495040055
"tensor(998395.7584, dtype=torch.float64)",995206.5742218045
"tensor(997969.2206, dtype=torch.float64)",995171.6863351612
"tensor(998076.5337, dtype=torch.float64)",995166.9315765967
"tensor(998313.6617, dtype=torch.float64)",995162.0662663082
"tensor(998899.9867, dtype=torch.float64)",995176.80063437
"tensor(998403.0539, dtype=torch.float64)",995171.9352755621
"tensor(997902.3338, dtype=torch.float64)",995136.9656800925
"tensor(998114.7286, dtype=torch.float64)",995132.017587791
"tensor(998338.2194, dtype=torch.float64)",995126.8760209501
"tensor(998895.8400, dtype=torch.float64)",995142.1074551943
"tensor(998346.1893, dtype=torch.float64)",995137.1316939326
"tensor(997848.6335, dtype=torch.float64)",995102.1080374167
"tensor(998109.2204, dtype=torch.float64)",995096.9113400979
"tensor(998434.3731, dtype=torch.float64)",995091.9081629561
"tensor(998911.6113, dtype=torch.float64)",995107.2772759686
"tensor(998287.4054, dtype=torch.float64)",995102.2740465681
"tensor(997899.0889, dtype=torch.float64)",995066.8369866741
"tensor(998154.7690, dtype=torch.float64)",995061.751037801
"tensor(998475.1957, dtype=torch.float64)",995056.6927558071
"tensor(998855.1877, dtype=torch.float64)",995072.0336836084
"tensor(998247.3557, dtype=torch.float64)",995067.0859134787
"tensor(997892.4297, dtype=torch.float64)",995031.5395405713
"tensor(998299.6130, dtype=torch.float64)",995026.4814118728
"tensor(998458.8074, dtype=torch.float64)",995021.450948655
"tensor(998860.5609, dtype=torch.float64)",995037.0953780889
"tensor(998220.1787, dtype=torch.float64)",995032.0648612112
"tensor(997998.0717, dtype=torch.float64)",994996.4644641632
"tensor(998333.8009, dtype=torch.float64)",994991.2683194096
"tensor(998431.1861, dtype=torch.float64)",994986.1827567797
"tensor(998752.1360, dtype=torch.float64)",995001.4949581655
"tensor(998136.9605, dtype=torch.float64)",994996.3540649863
"tensor(998046.1785, dtype=torch.float64)",994960.4785619023
"tensor(998288.0616, dtype=torch.float64)",994955.2273289408
"tensor(998390.6033, dtype=torch.float64)",994949.8102967622
"tensor(998672.0497, dtype=torch.float64)",994964.07166713
"tensor(998236.4168, dtype=torch.float64)",994958.8204153512
"tensor(998068.3364, dtype=torch.float64)",994922.9739026008
"tensor(998349.2483, dtype=torch.float64)",994917.4741357195
"tensor(998274.6426, dtype=torch.float64)",994912.1125826803
"tensor(998741.1611, dtype=torch.float64)",994926.677427496
"tensor(998301.1684, dtype=torch.float64)",994921.3158247108
"tensor(998128.0939, dtype=torch.float64)",994885.3601132699
"tensor(998268.3789, dtype=torch.float64)",994880.1092766247
"tensor(998180.9981, dtype=torch.float64)",994874.9137390773
"tensor(998633.3715, dtype=torch.float64)",994889.8373154651
"tensor(998332.3947, dtype=torch.float64)",994884.6969994731
"tensor(998185.0012, dtype=torch.float64)",994849.0465990814
"tensor(998204.3443, dtype=torch.float64)",994843.7130493195
"tensor(998072.1201, dtype=torch.float64)",994838.4071629771
"tensor(998635.5032, dtype=torch.float64)",994853.1367426255
"tensor(998421.4635, dtype=torch.float64)",994847.9137107026
"tensor(998166.4398, dtype=torch.float64)",994812.347533234
"tensor(998152.4822, dtype=torch.float64)",994807.1523494126
"tensor(998026.0292, dtype=torch.float64)",994801.7637569333
"tensor(998684.4742, dtype=torch.float64)",994816.5204282562
"tensor(998470.4572, dtype=torch.float64)",994811.2975888596
"tensor(998099.5107, dtype=torch.float64)",994775.1247809962
"tensor(998086.0230, dtype=torch.float64)",994769.7639947709
"tensor(998041.2765, dtype=torch.float64)",994764.4308699097
"tensor(998709.2960, dtype=torch.float64)",994779.2975213974
"tensor(998478.4140, dtype=torch.float64)",994774.1301432117
"tensor(998050.7351, dtype=torch.float64)",994768.9351588272
"tensor(998027.1867, dtype=torch.float64)",994763.7402015725
"tensor(998087.1218, dtype=torch.float64)",994758.6558014529
"tensor(998700.8140, dtype=torch.float64)",994743.070772535
"tensor(998441.4209, dtype=torch.float64)",994737.9864783426
"tensor(998006.8048, dtype=torch.float64)",994735.2509141533
"tensor(998068.9852, dtype=torch.float64)",994732.5706213323
"tensor(998188.5593, dtype=torch.float64)",994729.9732310197
"tensor(998713.2362, dtype=torch.float64)",994722.0150888239
"tensor(998509.0437, dtype=torch.float64)",994719.3072003005
"tensor(997982.9492, dtype=torch.float64)",994716.6545819553
"tensor(997973.8325, dtype=torch.float64)",994714.0019705367
"tensor(998246.0211, dtype=torch.float64)",994711.1835788117
"tensor(998776.3184, dtype=torch.float64)",994702.5624245418
"tensor(998557.6949, dtype=torch.float64)",994702.3690072048
"tensor(997972.7328, dtype=torch.float64)",994701.8440173643
"tensor(998062.7865, dtype=torch.float64)",994701.7611242657
"tensor(998362.3626, dtype=torch.float64)",994701.7058622077
"tensor(998956.5370, dtype=torch.float64)",994701.622966571
"tensor(998723.6895, dtype=torch.float64)",994701.5124424754
"tensor(998017.7419, dtype=torch.float64)",994701.4295494109
"tensor(998083.3349, dtype=torch.float64)",994701.4019183923
"tensor(998516.7419, dtype=torch.float64)",994701.3190253422
"tensor(999105.9002, dtype=torch.float64)",994700.7387563585
"tensor(998797.0362, dtype=torch.float64)",994700.6282323626
"tensor(998044.5529, dtype=torch.float64)",994700.4071844153
"tensor(998254.1555, dtype=torch.float64)",994700.186136515
"tensor(998784.8141, dtype=torch.float64)",994700.0203506318
"tensor(999228.9377, dtype=torch.float64)",994699.6887687875
"tensor(998801.3530, dtype=torch.float64)",994699.5506139498
"tensor(998183.0104, dtype=torch.float64)",994699.4124591362
