realized_delta_bof_values_1,scr_values
41661.44851750322,-157908.5084576302
46596.284663930535,-153323.28079360584
48497.16593611415,-153165.39332612947
44922.97489207715,-155295.71339686037
43697.68980700476,-151141.1839716113
48535.8257590268,-153731.33266202628
48796.807576887775,-157387.5496765905
45661.39866281825,-159471.36510307988
53118.60514293064,-152680.9591011648
58129.94324649312,-159630.36412739282
51106.27972246648,-158566.47336472129
48591.38746159373,-155388.31507734983
37160.427466371446,-154045.4910790206
34621.418286661734,-155653.16504440786
35383.81204795465,-156788.28231611152
41504.21559578285,-158632.8677257448
45355.835173456464,-157444.24004926777
45948.981339875376,-155487.9647594812
45991.196595877525,-157814.69722581736
47979.63550769549,-154390.6290450652
45764.03031874844,-151925.39316455595
37601.78521095298,-155690.1955824432
35370.02943347825,-152525.03213109518
30119.716848735698,-153211.73340505234
24820.94109094923,-151586.6400509916
27076.024972306564,-153362.75855686807
30065.543186456664,-152523.57686084352
35951.79749180796,-155225.3881402556
35727.93252516608,-154446.29229916303
41334.99041463563,-151892.14166827715
41251.506806688616,-148418.87043733502
41787.73177447135,-151943.27672478938
39800.39713853435,-153730.9675328836
41964.663957212,-155340.7502924254
38347.11107688071,-151957.36680393416
39266.30862733256,-158670.72249424816
42357.851744427,-153504.1482835216
41214.88172729546,-146672.2665255756
38171.01170467143,-149229.8147127855
38999.96758983785,-159794.6790752144
42751.50509361224,-157324.7306862389
42354.27727566089,-152931.19124139356
39644.585576583166,-158190.1600769071
38086.2771426182,-159761.4889393924
37233.10072672577,-151932.85008917173
36898.09291169804,-156566.59359824526
41044.46717852075,-150751.00569801658
46229.98376522225,-154934.8404172421
44397.12207159225,-157028.21674831514
44010.953687925125,-154624.6933525035
45957.79703592521,-151518.5383501588
48564.87092195486,-153016.8135809986
50683.52632644703,-158569.31457685665
48614.62018183607,-153722.5081176238
51864.64439869975,-150025.3896696893
45811.90504889446,-157832.19288900934
44931.92916926299,-156605.55980391856
40928.40351931786,-151956.76913596148
39464.97091404337,-151352.87967851345
38532.45868137048,-159007.22649028286
38617.51780789939,-158502.73680165614
40687.097082174616,-155706.6118322481
43088.65995991521,-149366.37150870022
40497.75873309991,-154057.49191891306
39300.41949391365,-150992.06127064532
35203.646416276344,-157107.9631854096
35520.800697034225,-152192.26255236138
33350.131240874296,-158978.00550800565
33005.511531099095,-153241.7524095588
31268.786755519686,-155859.3908301545
36038.45804876345,-151551.340213807
41741.922235089936,-149909.07326955648
41538.63151291607,-152859.35368267604
36559.532713033725,-150055.26052273036
36048.18850212637,-143801.06755970052
32150.115816839272,-145800.47846497357
38084.65632382128,-146280.02101567655
38221.946220257785,-147135.33079340687
40165.64310952218,-148955.8979437735
39171.0285847669,-150744.27141655592
37847.10416966956,-149275.01843541823
33019.30154457595,-149022.6796933911
27081.322998343618,-150525.52954069973
28255.68364614109,-148091.78089603948
25468.185260815662,-153219.0604758418
22265.304335006746,-145639.53056117945
25308.46375553333,-148564.56723367647
28704.05682706507,-152095.3072000267
29767.62736756075,-146007.20810245915
36714.58160739264,-149685.87732416252
36601.597050411045,-151469.61433618114
32865.55816472089,-149482.53018475932
35782.66564458003,-151087.64126252595
37597.47628142475,-151508.99195108196
38935.209231416346,-148843.4084987313
45404.9709244452,-144589.18591384773
44260.314779337496,-145444.46007416782
47418.55196288892,-150604.01383017653
46163.1284985824,-150821.27350290795
45697.62916886341,-153273.8138668133
44337.86837794608,-149048.06974025315
45173.34943135886,-146192.50489073087
43169.75878886413,-154175.79956151356
40322.36380669649,-145199.6847905501
36051.65429526847,-149276.36675946874
34676.82790972188,-150917.4353806696
37063.69362348202,-145545.07303790125
34466.81034780585,-147034.90065906843
33661.568905540626,-153276.5120086994
24060.73536456027,-152156.93225123495
25764.11131145921,-154854.40122968963
23902.601148148533,-149222.9916563265
27462.13757860556,-149324.5291030205
31690.873293884448,-145127.60948982058
39801.86183540709,-145080.10460722618
46378.04197272658,-151684.10467441185
44655.40650828776,-146932.91970463138
48855.69262606464,-146542.29461632934
48901.20053365966,-150364.4434937389
52634.56301375851,-148599.4166412266
50177.54976718861,-146180.50336609577
50841.38299415168,-145696.9538191583
53735.653397405054,-153011.69779350876
54324.42417207395,-144810.46948069305
54540.964922504965,-148680.4582329853
57907.22004924889,-147910.1685692878
55727.25646229717,-151227.62999867374
53307.74233452464,-147590.40334054708
53475.40482888266,-155389.8066258853
53068.97589918994,-147598.53326964576
53857.4183136659,-158286.20063097423
55416.13192812819,-145929.32906205516
60350.88986748015,-149060.42019269138
56971.13045140693,-152050.37694622282
56140.29176862759,-141710.46111917897
58682.69445363013,-146123.38889713894
56826.8556189806,-145918.2560022873
57475.93006293033,-146971.324681798
59714.51523525128,-141671.1134385173
56423.70722756197,-145589.07027599827
59089.02839536872,-150927.92451636598
55778.25505452743,-146003.0604517942
53793.89732740109,-152593.2795445892
55321.90725853015,-147273.32294213946
56917.87698823982,-142688.16065538215
57495.7387056778,-144779.4973052052
53379.00545072823,-146815.7485271077
51035.40033087018,-149135.42707825176
52689.41250722879,-151891.18489223608
50687.5033145108,-149955.84363468285
56174.17380264925,-148668.60105683
58142.20861011883,-151738.60894624115
56249.5822644356,-147677.44707226957
52787.804064724594,-149492.90205839183
55872.3773220405,-150495.10327127302
53389.77796325809,-150053.77015152475
54605.08228181419,-146678.30673554476
52021.32372164051,-151066.0642786459
53372.55524383229,-148562.7638589795
55995.08309789887,-149222.05075551843
52954.72979686013,-147351.5750129719
49817.30317342316,-146847.79749033524
52061.5552026931,-147474.46734153174
50971.16787378816,-150906.29711616418
48852.34612470004,-148023.41755532342
47716.01594600815,-146037.4942581902
47392.41019530303,-151495.47055050655
48064.84201139189,-144695.70095442916
43218.787127928925,-147331.680809543
43329.6231390168,-152059.12111087138
45009.82182400103,-147051.24560791874
42462.730958452565,-151725.0231753719
40481.948396864,-150285.10921081837
42362.01208419132,-149032.6680640491
36431.1013090068,-146827.86740203155
39040.14490874775,-149944.80745878638
40691.36503973184,-149637.14447386313
39040.87873905385,-151593.52373220638
39837.68385718088,-145866.07839995043
36883.5281522288,-154575.4766284342
37341.42747365078,-146783.75205687032
35872.75307736627,-144931.45835635904
33483.77961410547,-143954.557591984
32652.419054597965,-151918.53677154495
31258.96514351177,-147890.16522679394
31467.928297008853,-149472.93156022677
27372.75429331395,-151677.27251576056
28195.270439603948,-146782.6509567834
26062.381331495475,-149535.2635820625
30902.17371515627,-150604.1686058804
36130.62438595691,-147965.95970145843
37776.78786081425,-152362.27396716387
51698.96285510215,-152762.6009114184
48819.44804511918,-153580.44454122422
44709.64170798147,-154162.71260203118
52944.11926107912,-150776.88559227987
43180.54269605293,-149568.89772680448
44450.28072043648,-155610.1749021493
49375.67763866414,-125926.25701432645
76776.25331045152,-123801.88132130145
77900.7890527451,-118438.61251977363
90367.37716978928,-111970.24197428193
133125.34233262797,-112162.86536421525
131920.06626428338,-110922.19687604447
170179.15043233056,-101869.83437143177
173991.32044069876,-77583.86534225298
206057.84188749103,-79846.17309975764
196361.04801816144,-74968.93588012298
188154.19234412225,-78589.40528577955
203735.35767552909,-76074.02145049997
178230.97795942752,-77044.04020420427
170441.7866244656,-73675.87229849662
150550.55565345054,-70409.54729608931
154981.13786818914,-75364.23501254649
149242.64704307192,-80896.61499596608
148007.7633135931,-80997.79156216842
158700.35977998096,-85029.14927711741
156225.60202826,-85960.56076772045
165634.94541604316,-92903.11623233378
151843.53396234429,-99125.02256330529
150530.40421557042,-101909.03812925568
145199.11072291026,-103952.19415864581
132023.43216888397,-105849.16258002145
124692.65003410973,-106036.8289028925
131066.2927926596,-106715.10442232068
127516.86414236762,-111138.39519827723
125148.48984305572,-106655.06344316066
130420.28933654864,-106660.9661152849
138673.9746595138,-108660.79700433218
134166.43151631893,-110245.70718677808
130315.60553665589,-108118.63052392851
127661.15952360316,-107155.53305016835
122915.51547580956,-103940.38082757515
120784.89974353602,-103425.18071616348
112406.14781779364,-107106.5822371948
112672.38023228012,-107159.96359839947
122372.8750060968,-114946.68315602925
116363.5411065754,-115353.59620641502
122662.7865778259,-118599.50027636706
115828.10840357176,-119737.65021805263
114072.71617998696,-116642.11400713309
116409.76636089243,-117450.20348712464
120588.644652723,-122177.71557737258
123227.68738594536,-112504.20944834074
117867.95064494829,-114250.68309498558
112862.89675614354,-111149.85640796898
105112.75576736266,-115297.42043422876
108391.96230354453,-110269.78023981098
103301.3168337514,-114172.54400473705
102333.04024015636,-117742.6994582549
97771.34199377242,-117909.88577623646
99566.7881417208,-119279.10647181081
98166.60445437848,-115185.15266645383
96127.53455365985,-112690.82011418401
95506.6135928121,-117238.99892426442
98664.10351563548,-120359.15352079978
96829.14814402442,-111866.26382793144
93786.77402236918,-118934.13229768029
88845.88555533334,-117480.93405969525
92749.8672213616,-115539.0011370382
85810.58713313204,-119770.6740854958
80984.20058773749,-114278.07235177122
88961.56993780634,-113162.66850799462
90188.2062616736,-112280.7720998846
104815.15794796032,-113113.98596451087
101684.09936781076,-116391.55683303371
102197.9638394938,-111866.65432595662
95867.86087356484,-115203.34356198942
94531.31452664884,-113161.8636632594
92499.20137895644,-111322.96557859417
91863.35061195912,-118693.22190279528
93876.17125510157,-114754.23340948734
93877.23984106084,-109591.00907547772
99814.38719357968,-120868.44760552267
98780.01403594144,-116550.0699085959
100262.13818056416,-109252.0763913048
102015.67173369764,-113482.3873806973
96608.12303718494,-117697.48310930669
98669.9034951066,-117203.91626976659
92834.82455845166,-111184.88606214656
95126.42916455212,-116235.50684563551
91917.54941876454,-114810.22218670533
97984.76154061592,-121264.07706095216
97309.98055930527,-116215.1956195408
100667.87318291108,-119898.63201827188
101710.36642795708,-120174.99623105144
101186.20804790944,-122999.88171098824
100829.85534378688,-114976.65554688145
100816.57591149933,-118397.56274170273
100640.57641157636,-114852.91916245187
100970.00980413926,-122745.32820755818
96053.92709443824,-131638.8642180517
94383.74209626962,-121821.08500853677
90811.19469159668,-126028.44526957064
96364.35285592638,-128712.99693387162
102102.85627144948,-137635.7499438547
105775.83405554607,-143113.7032487456
106449.27002900129,-140536.7804459976
104002.8858182457,-137399.20539660638
105007.6597217254,-143285.3416075844
105811.9254294996,-136011.3123548837
102994.20639661548,-134942.3315596025
98794.64939478449,-140056.31433943764
101842.16047444078,-139144.6118538128
101104.07703338005,-140521.83414573208
101050.60691785126,-138812.84186299794
102075.02856601018,-139464.0922038816
102864.4202450352,-137549.50332280874
100916.64968503524,-136886.77109302895
104958.97074172997,-137953.2168561321
106194.42446288862,-136662.8735601483
105704.87124036124,-140877.22730408196
108361.09604052432,-137614.41210426867
109166.1781727994,-136059.18358664692
104575.8461252672,-148291.57171113288
102476.4826920348,-145478.81186341506
99646.72031988786,-146106.14921209015
104899.65427373956,-142740.3417734736
102047.4516551249,-147165.8763555887
103694.39586545026,-142437.9556910139
100928.61604766943,-139644.87312608474
101109.90741230058,-145434.071608785
101618.85243102048,-140144.7533709384
94759.0258727508,-144788.71443162527
96419.48255616624,-137396.75705407778
103374.20889662892,-143742.62227485754
101088.98802224582,-142382.42794490143
103624.58283571468,-139580.72632009062
102265.0018817354,-135947.85636769177
96515.71264529426,-142187.394049971
93351.85229000857,-143086.96132813123
94186.32306340792,-142838.0991406785
91573.62445534776,-144414.61428188506
97204.82069644437,-137770.60396602162
100649.96110968222,-142066.96898026037
97809.41206167266,-141328.93770995786
102464.60979939227,-146127.40772511
100469.64997877624,-144469.12967039342
94723.49031962804,-145567.8961621277
91252.22023390456,-147130.4449944266
95085.77623649688,-142914.40688104727
93875.00360180018,-146982.35115150572
88945.43669321248,-142656.880953072
89496.6561155488,-141570.291299154
79065.20667461294,-138491.23172422094
80267.22144734708,-142892.686611765
76623.09952391498,-144761.39180997817
76020.4689134442,-142230.71965622093
70677.43956851505,-140676.491648168
67601.38907782605,-142311.94485556218
66193.45757147693,-141131.0099444418
69625.86607340968,-142782.38487608128
68338.10361317534,-142603.42353935985
