Window,SCR_Values
91,-157156.44269304500
92,-158166.31056007500
93,-158284.45546012400
94,-158237.32802306900
95,-158192.0659320850
96,-158254.97662616200
97,-160389.3094860520
98,-160361.1158924270
99,-160367.65374063900
100,-160401.7508647
101,-160368.15213662100
102,-160393.56402724300
103,-160366.30220128600
104,-160228.59547082300
105,-160108.28597307300
106,-160056.8302424790
107,-159878.44382213300
108,-159895.24478624500
109,-159806.59009580600
110,-159560.47749341700
111,-159136.8098053440
112,-159069.80031210500
113,-159063.35409095000
114,-157785.57646010100
115,-157793.48357499400
116,-157668.7344656990
117,-159259.9644026120
118,-158575.52611977500
119,-158563.19960917200
120,-158669.128839639
121,-158588.38123739200
122,-157777.57233500000
123,-157629.3254365050
124,-157502.2331484410
125,-157276.2524546570
126,-157223.99809837300
127,-157426.27907763400
128,-157401.9995848020
129,-157406.9720446900
130,-157463.10138020100
131,-157552.29343049000
132,-157563.77871303700
133,-157447.54645756800
134,-157458.31465430700
135,-156402.79207478100
136,-156352.58292313900
137,-156359.30622711900
138,-156002.59207568800
139,-155866.4474127150
140,-155715.21695745100
141,-155811.83763196200
142,-155738.52305890300
143,-155657.9255471070
144,-155752.61009586300
145,-155679.1187129070
146,-155593.40485301600
147,-155662.16291403800
148,-157487.60471649700
149,-157417.2588202800
150,-156172.38671000900
151,-156106.5054913770
152,-156289.79120671800
153,-156284.77995019800
154,-156141.30566876800
155,-156228.3082661090
156,-154969.0510627260
157,-154823.29977127500
158,-154836.27698947600
159,-154710.34564873300
160,-154640.74635267500
161,-155890.87625531500
162,-155977.47726206300
163,-155932.64755771600
164,-155775.06373900000
165,-155632.17255738200
166,-155586.2376824800
167,-155488.7815482640
168,-154926.1396791790
169,-155434.5754700900
170,-155410.40020998500
171,-155607.69844640600
172,-155481.97078019400
173,-156643.3979420610
174,-156801.4377044120
175,-156674.46226445400
176,-156672.89539979000
177,-156942.84446359400
178,-156825.57919262600
179,-156865.6558848210
180,-156713.11563080500
181,-155825.87410800000
182,-155760.89397700500
183,-158032.04048451300
184,-158375.67576317800
185,-158004.99932000900
186,-157728.70673652600
187,-157782.5271241070
188,-157711.7840689230
189,-156664.08011665100
190,-155553.6327437640
191,-155437.3196117780
192,-155355.90821119100
193,-155866.6606960020
194,-155468.44597078400
195,-155986.12091769600
196,-158420.33105411900
197,-158340.257013287
198,-158291.953729983
199,-158235.4357906440
200,-158230.3136447320
201,-158189.65310838900
202,-158252.28340399300
203,-158253.89462431800
204,-158148.50468965500
205,-158081.06352900300
206,-158038.52457333900
207,-158085.58583195100
208,-158137.17216556700
209,-158096.03736431400
210,-158104.9291795000
211,-158007.04259149000
212,-158014.5106560160
213,-158019.76779184100
214,-158027.8199885750
215,-157954.7932795000
216,-158186.77487694500
217,-158178.43383725900
218,-158222.65272637100
219,-158162.7215501200
220,-158085.88466699300
221,-156752.13468836500
222,-156708.60404144000
223,-156658.03396649800
224,-156659.05922172000
225,-156651.66842118800
226,-156761.64835808900
227,-156760.0608947830
228,-156641.8322903830
229,-156526.58543347900
230,-156486.71621719800
231,-156497.6109886040
232,-158149.56114466800
233,-158098.9453403270
234,-157963.95347067800
235,-157945.30129391300
236,-157992.42659613400
237,-157885.49485544600
238,-157838.2439169690
239,-157832.5594550810
240,-157731.409341913
241,-156575.2064675960
242,-156367.29075267100
243,-156300.5476783010
244,-156274.28649680000
245,-156336.70696484900
246,-157715.48668222300
247,-157637.70183597200
248,-156179.43047826
249,-156142.1138621880
250,-156039.7467459070
251,-156264.823127192
252,-158178.97829392400
253,-158015.95095081800
254,-157905.00391795500
255,-157957.13353292800
256,-157939.2533015590
257,-157475.12949754400
258,-157426.20769133700
259,-157859.42436001400
260,-157897.77053669200
261,-157831.82871440800
262,-157763.89476928700
263,-157690.44353787400
264,-156758.23366903800
265,-156734.26861086400
266,-156663.1234947360
267,-156582.43528457200
268,-156467.44614137700
269,-156394.19292292200
270,-156449.48965259600
271,-156411.95396944600
272,-156590.94636799800
273,-156602.9538971650
274,-156732.7370997600
275,-156718.4866928850
276,-156650.0180243020
277,-156604.9053748530
278,-156515.5529224820
279,-156448.6072236570
280,-156327.52170385500
281,-156308.31346214
282,-156650.34421757100
283,-156567.81766868400
284,-156500.41519775000
285,-156460.37503655900
286,-156461.79138070400
287,-156371.3748924830
288,-156343.64228012500
289,-156400.51519058800
290,-157024.12695248900
291,-157426.2338901360
292,-157575.0512175590
293,-158612.43244980300
294,-159801.48130994400
295,-159738.2306017480
296,-159537.88499657200
297,-158940.9116129860
298,-159643.46969492100
299,-158498.0694050090
300,-159879.51390190000
301,-160303.38147816600
302,-161549.51316109200
303,-167268.4224105350
304,-166395.50116601600
305,-170618.2345969940
306,-169731.50622801000
307,-172623.18126780400
308,-168408.1989504250
309,-172442.16123797400
310,-170318.9862484020
311,-172976.73833511400
312,-170381.10182270000
313,-171006.73893754400
314,-170382.5117540850
315,-169964.53601671100
316,-170044.72766985000
317,-170455.85826729200
318,-170345.8322485470
319,-169135.1836154120
320,-169246.21058009900
321,-169811.06775295700
322,-169566.05346702800
323,-169973.18397092100
324,-169631.9179891310
325,-169663.08341060700
326,-169593.00160426700
327,-169459.8689674990
328,-169810.42680013700
329,-170631.72588713200
330,-170450.01459362000
331,-170337.11913202800
332,-170231.04695126000
333,-169996.2504457490
334,-169882.13953558800
335,-169706.16908385000
336,-169493.82334023600
337,-170224.67446279700
338,-170168.94270711700
339,-171070.24736945900
340,-170999.01326764900
341,-170982.50437331200
342,-171107.49616865200
343,-171254.93354918600
344,-171371.91977692500
345,-171522.13113799100
346,-171509.6649042670
347,-171632.46574743300
348,-171620.61311902200
349,-171378.72507440800
350,-171369.06707223700
351,-171329.76792860100
352,-171298.26138376100
353,-169905.27980572000
354,-169776.4296656230
355,-169966.33705521700
356,-169951.4786319590
357,-169895.782913565
358,-169714.97484700000
359,-169801.34783668900
360,-169967.2307718620
361,-169750.13199569400
362,-169742.2155322920
363,-170210.0080061700
364,-170270.55066474400
365,-170726.5830962250
366,-170590.40680297300
367,-170609.68605545700
368,-170588.2427139340
369,-167776.85024237700
370,-167764.15746538300
371,-170375.27111046400
372,-170380.18586540900
373,-167401.31767673200
374,-167662.2415023410
375,-167589.67014806300
376,-167781.68654267700
377,-167788.9641436550
378,-167689.6674340590
379,-168021.63622698800
380,-167828.9872883560
381,-167854.56197181200
382,-167708.95074816000
383,-167742.41521127300
384,-167713.31772067100
385,-167694.29931574700
386,-167650.0152318870
387,-167723.92790131900
388,-168546.72051707900
389,-168608.29255789400
390,-168493.71586203900
391,-168510.804862985
392,-168496.734420166
