SCR,Realized_Delta_BOF
"tensor(949285.9588, dtype=torch.float64)",1037730.1026472945
"tensor(952085.8316, dtype=torch.float64)",1036548.2337471404
"tensor(950232.4437, dtype=torch.float64)",1032776.6984889868
"tensor(951692.6026, dtype=torch.float64)",1030663.4014556337
"tensor(952470.9202, dtype=torch.float64)",1021039.0188506393
"tensor(952229.9693, dtype=torch.float64)",1021318.8486981905
"tensor(953825.9950, dtype=torch.float64)",1022432.8195445955
"tensor(952647.9483, dtype=torch.float64)",1026709.6916138083
"tensor(952769.8838, dtype=torch.float64)",1024507.4892249331
"tensor(951133.5862, dtype=torch.float64)",1020774.604009612
"tensor(954593.5110, dtype=torch.float64)",1027619.6770751178
"tensor(956142.9994, dtype=torch.float64)",1020137.7963609877
"tensor(954390.0204, dtype=torch.float64)",1023086.6477633873
"tensor(954606.0611, dtype=torch.float64)",1020925.0396670386
"tensor(954219.3409, dtype=torch.float64)",1024783.95453052
"tensor(954048.5963, dtype=torch.float64)",1024833.9287426833
"tensor(956144.3615, dtype=torch.float64)",1024394.6582966148
"tensor(955754.0685, dtype=torch.float64)",1028089.0758041202
"tensor(954499.7346, dtype=torch.float64)",1025280.5156473481
"tensor(957556.2371, dtype=torch.float64)",1025648.7456004026
"tensor(953114.8994, dtype=torch.float64)",1022451.58254892
"tensor(952192.8289, dtype=torch.float64)",1021736.8981889032
"tensor(953117.5878, dtype=torch.float64)",1015316.3424337712
"tensor(952421.7532, dtype=torch.float64)",1014803.5106556521
"tensor(954010.3345, dtype=torch.float64)",1014822.6332154955
"tensor(954338.9712, dtype=torch.float64)",1019158.9140995543
"tensor(953666.0436, dtype=torch.float64)",1019675.1564865145
"tensor(953278.9205, dtype=torch.float64)",1022490.1603548158
"tensor(952965.9491, dtype=torch.float64)",1026179.7372757666
"tensor(953773.6359, dtype=torch.float64)",1030344.6405739458
"tensor(951924.9259, dtype=torch.float64)",1027332.6600651189
"tensor(955691.7644, dtype=torch.float64)",1025985.2583784263
"tensor(957228.9147, dtype=torch.float64)",1019386.9382588598
"tensor(954574.2306, dtype=torch.float64)",1020963.9698197903
"tensor(953698.1142, dtype=torch.float64)",1021181.2570481396
"tensor(955104.2037, dtype=torch.float64)",1022873.3326799176
"tensor(954110.8256, dtype=torch.float64)",1020311.4248680689
"tensor(950427.1378, dtype=torch.float64)",1020462.714616752
"tensor(953138.3800, dtype=torch.float64)",1021955.1472437636
"tensor(956945.4778, dtype=torch.float64)",1024595.8852981329
"tensor(952776.5369, dtype=torch.float64)",1023638.7468203229
"tensor(951409.4063, dtype=torch.float64)",1021223.8446287984
"tensor(954330.1642, dtype=torch.float64)",1020144.7054690076
"tensor(953032.4403, dtype=torch.float64)",1018943.585598762
"tensor(949103.1220, dtype=torch.float64)",1016005.632092539
"tensor(950443.6078, dtype=torch.float64)",1017278.2187785825
"tensor(950440.0427, dtype=torch.float64)",1013900.3658734174
"tensor(954725.5557, dtype=torch.float64)",1006812.9561151202
"tensor(952403.8496, dtype=torch.float64)",1016041.359943669
"tensor(955695.5763, dtype=torch.float64)",1018265.8366615918
"tensor(952633.8338, dtype=torch.float64)",1018001.8185638888
"tensor(954881.4602, dtype=torch.float64)",1013816.266046876
"tensor(955321.7134, dtype=torch.float64)",1010257.9699726321
"tensor(953270.0805, dtype=torch.float64)",999298.0809703859
"tensor(950472.8487, dtype=torch.float64)",1000975.1376727726
"tensor(954457.0371, dtype=torch.float64)",1001279.5424340741
"tensor(955221.2531, dtype=torch.float64)",998290.5498647229
"tensor(955439.7757, dtype=torch.float64)",1002373.4496671872
"tensor(955774.0878, dtype=torch.float64)",1005728.3789123761
"tensor(955361.2532, dtype=torch.float64)",1005535.2282630356
"tensor(956860.0744, dtype=torch.float64)",1006177.4357268494
"tensor(954997.6359, dtype=torch.float64)",999908.7941387153
"tensor(953640.6950, dtype=torch.float64)",994964.1710250822
"tensor(953160.3519, dtype=torch.float64)",989880.4908851677
"tensor(953339.5648, dtype=torch.float64)",990903.0227754192
"tensor(956227.9631, dtype=torch.float64)",990124.1350998
"tensor(954254.5242, dtype=torch.float64)",987448.0784857594
"tensor(957169.5044, dtype=torch.float64)",988124.8255861518
"tensor(956535.9587, dtype=torch.float64)",997427.641989623
"tensor(952794.3743, dtype=torch.float64)",998572.1954004015
"tensor(955487.9294, dtype=torch.float64)",1007234.9298253529
"tensor(958634.2237, dtype=torch.float64)",1007045.6795869392
"tensor(954686.6697, dtype=torch.float64)",1003329.547525041
"tensor(956281.6123, dtype=torch.float64)",999689.7124066364
"tensor(954832.7684, dtype=torch.float64)",1010261.5107153852
"tensor(953593.3061, dtype=torch.float64)",1008452.2565548548
"tensor(955495.2186, dtype=torch.float64)",1011275.3131138321
"tensor(951992.2292, dtype=torch.float64)",1007436.2155624017
"tensor(959333.6595, dtype=torch.float64)",1010450.8652806754
"tensor(954757.8330, dtype=torch.float64)",1008850.9224484428
"tensor(954485.6418, dtype=torch.float64)",1005195.4250343096
"tensor(952233.2757, dtype=torch.float64)",1004038.3331096518
"tensor(954241.0415, dtype=torch.float64)",1005334.3415371832
"tensor(954918.2374, dtype=torch.float64)",1004537.3472651795
"tensor(952483.1556, dtype=torch.float64)",1005855.7791253903
"tensor(950661.8885, dtype=torch.float64)",1006364.1949590725
"tensor(955103.7505, dtype=torch.float64)",1009822.2504260563
"tensor(952809.0640, dtype=torch.float64)",1009953.5107612261
"tensor(955180.6494, dtype=torch.float64)",1007793.4254898502
"tensor(952347.6289, dtype=torch.float64)",1008685.2926956826
"tensor(953708.3028, dtype=torch.float64)",1009107.1854753679
"tensor(951675.5839, dtype=torch.float64)",1007406.161446833
"tensor(954804.3685, dtype=torch.float64)",1009633.2543147287
"tensor(951179.7013, dtype=torch.float64)",1017800.363895254
"tensor(952426.8453, dtype=torch.float64)",1021706.2247072619
"tensor(951880.2737, dtype=torch.float64)",1021173.8736349228
"tensor(952966.1026, dtype=torch.float64)",1025306.4350871934
"tensor(953626.3904, dtype=torch.float64)",1027005.0093398781
"tensor(954478.4203, dtype=torch.float64)",1026693.1182861419
"tensor(952971.4259, dtype=torch.float64)",1029876.3138526639
"tensor(952238.0135, dtype=torch.float64)",1032035.920588948
"tensor(949623.9144, dtype=torch.float64)",1027199.4962416815
"tensor(955028.0266, dtype=torch.float64)",1024403.4727065343
"tensor(952787.4104, dtype=torch.float64)",1020147.8907020054
"tensor(952577.6476, dtype=torch.float64)",1024725.888584977
"tensor(951181.0945, dtype=torch.float64)",1029435.9518343587
"tensor(953465.5303, dtype=torch.float64)",1031123.1679802818
"tensor(952509.6091, dtype=torch.float64)",1029242.3374663487
"tensor(954879.5125, dtype=torch.float64)",1027922.0307936205
"tensor(950437.5847, dtype=torch.float64)",1030567.0534274864
"tensor(951952.2945, dtype=torch.float64)",1033114.8438035174
"tensor(953229.4837, dtype=torch.float64)",1034971.2835294355
"tensor(953615.3184, dtype=torch.float64)",1036523.8539578005
"tensor(953820.7643, dtype=torch.float64)",1042824.7235385466
"tensor(953110.2737, dtype=torch.float64)",1041327.8626583236
"tensor(951471.5975, dtype=torch.float64)",1035142.039062758
"tensor(952184.6419, dtype=torch.float64)",1034268.164385522
"tensor(951825.9044, dtype=torch.float64)",1033982.3147034877
"tensor(950981.5282, dtype=torch.float64)",1036349.326018275
"tensor(951171.7144, dtype=torch.float64)",1036581.9943294738
"tensor(950656.8029, dtype=torch.float64)",1036706.2386676893
"tensor(954032.0126, dtype=torch.float64)",1039412.7202794444
"tensor(949921.9262, dtype=torch.float64)",1037804.5676228367
"tensor(951568.6344, dtype=torch.float64)",1039672.4314590284
"tensor(952225.1722, dtype=torch.float64)",1038090.4596324558
"tensor(951945.8941, dtype=torch.float64)",1037510.8716948552
"tensor(947839.1026, dtype=torch.float64)",1035898.0897336085
"tensor(947642.9385, dtype=torch.float64)",1037115.8778153695
"tensor(947554.9798, dtype=torch.float64)",1039279.1892849897
"tensor(956337.8187, dtype=torch.float64)",1038897.1573310996
"tensor(952412.1658, dtype=torch.float64)",1045030.5947666027
"tensor(953812.9816, dtype=torch.float64)",1034650.148350783
"tensor(952654.9437, dtype=torch.float64)",1036490.3872532825
"tensor(952738.4390, dtype=torch.float64)",1043373.6191967054
"tensor(952859.3223, dtype=torch.float64)",1042215.2271111398
"tensor(951576.4878, dtype=torch.float64)",1042983.283676226
"tensor(952199.3024, dtype=torch.float64)",1044791.8261082094
"tensor(954490.4561, dtype=torch.float64)",1042531.7260100715
"tensor(949938.3127, dtype=torch.float64)",1046112.0143228644
"tensor(948877.0345, dtype=torch.float64)",1045080.5324639945
"tensor(950409.2533, dtype=torch.float64)",1045512.2571433126
"tensor(952687.0297, dtype=torch.float64)",1043812.303028944
"tensor(951673.0274, dtype=torch.float64)",1044541.0988994484
"tensor(951347.0252, dtype=torch.float64)",1046635.9081323639
"tensor(949733.4952, dtype=torch.float64)",1045624.2789099668
"tensor(950791.8872, dtype=torch.float64)",1047059.7607654339
"tensor(950606.5243, dtype=torch.float64)",1048213.755766705
"tensor(950268.4227, dtype=torch.float64)",1042089.9563759014
"tensor(951140.8640, dtype=torch.float64)",1046868.2597010281
"tensor(951635.5485, dtype=torch.float64)",1048969.9298077286
"tensor(948129.8534, dtype=torch.float64)",1047713.5582584948
"tensor(950404.9970, dtype=torch.float64)",1042516.5239396776
"tensor(950530.8277, dtype=torch.float64)",1042747.0489938642
"tensor(952389.6568, dtype=torch.float64)",1045271.9410978348
"tensor(947583.6282, dtype=torch.float64)",1045924.6198582406
"tensor(951499.8238, dtype=torch.float64)",1046155.7978808405
"tensor(949115.1779, dtype=torch.float64)",1044096.077723174
