Realized_Delta_BOF,SCR_Values
27462.137578605600,-154152.68101093700
31690.873293884400,-154069.87186723700
39801.86183540710,-153985.59254658200
46378.04197272660,-154236.6873533380
44655.406508287800,-154217.2821791050
48855.69262606460,-154276.19540585100
48901.20053365970,-154212.5846022660
52634.56301375850,-154118.82780786200
50177.54976718860,-154028.49571133200
50841.382994151700,-153977.62466361300
53735.653397405100,-153905.5524569970
54324.42417207400,-153901.4692132210
54540.964922505000,-153891.29232665700
57907.22004924890,-154159.5647963330
55727.25646229720,-154336.15563311800
53307.742334524600,-154200.06241237500
53475.40482888270,-154068.0360231870
53068.97589918990,-154039.64763746400
53857.4183136659,-154054.68856413100
55416.13192812820,-155143.5250948290
60350.889867480100,-154634.85407492700
56971.130451406900,-154488.3472887070
56140.29176862760,-154491.5720878940
58682.69445363010,-154570.31616610300
56826.8556189806,-154440.8685139960
57475.93006293030,-154377.34424652300
59714.51523525130,-154369.04184188600
56423.70722756200,-154272.56925830500
59089.02839536870,-154171.70134145200
55778.25505452740,-153964.05383544200
53793.89732740110,-153942.17476190500
55321.90725853020,-153922.23764959000
56917.87698823980,-154023.63083989000
57495.738705677800,-154143.22071545800
53379.00545072820,-154058.96696727800
51035.40033087020,-153957.9859820050
52689.412507228800,-153919.06631047100
50687.5033145108,-153783.73575721800
56174.17380264930,-154088.29367027100
58142.20861011880,-155796.68795392900
56249.582264435600,-155865.60025825800
52787.804064724600,-155748.45811445000
55872.3773220405,-155816.81959567600
53389.77796325810,-155805.37284081000
54605.08228181420,-155579.46365794000
52021.32372164050,-155571.89859929500
53372.55524383230,-155875.25042968900
55995.08309789890,-155935.90606336800
52954.729796860100,-155868.2098633030
49817.30317342320,-155790.94265554400
52061.5552026931,-155727.20675252500
50971.16787378820,-154870.89761648700
48852.34612470000,-154844.9491419400
47716.01594600820,-154768.86522025900
47392.41019530300,-154704.6290816020
48064.842011391900,-153249.88395447800
43218.787127928900,-153170.76632162500
43329.623139016800,-153168.19023396100
45009.82182400100,-153137.8187981180
42462.730958452600,-154370.24286263600
40481.948396864,-154347.67775224900
42362.012084191300,-154687.80170208600
36431.1013090068,-154935.55313130500
39040.14490874780,-154868.42737790400
40691.36503973180,-154830.6270744420
39040.87873905390,-154745.59672825900
39837.68385718090,-154667.83190732100
36883.5281522288,-154540.95163331000
37341.42747365080,-154529.11653256
