Realized_Delta_BOF,SCR_Values
15803.000740865129,-138285.58722072153
7129.291860081488,-134385.08645441238
7971.642429245403,-134024.10560066524
12447.699105906067,-133367.40851108477
16105.710138334194,-136370.27854481206
21000.78770816524,-134054.82358692438
22313.148939430597,-133231.2188191757
30083.056311117718,-135851.26499976104
30002.909086045693,-130452.0981208643
21454.32092102908,-138607.91634337098
28425.655264873058,-131573.59552014837
23867.214984713588,-135444.85859354175
33037.50427024241,-134313.04892579227
33478.463614485925,-132346.4253859446
29402.625566785573,-130240.05017899838
22927.42137811694,-135530.4190469506
20350.125818162807,-133408.311286453
21050.13267245423,-130178.34394682907
20504.14368551981,-137697.3150753241
28582.735847305274,-131447.65909604146
30683.970982086612,-138526.52691026678
33653.443209872465,-136486.02762762978
33594.990909582935,-134393.78055427046
36096.02559600433,-131784.71786218818
39377.688825937454,-134911.45442716213
41661.44851750322,-134265.98068138675
46596.284663930535,-136906.69871405704
48497.16593611415,-138113.6800371653
44922.97489207715,-133808.41798626733
43697.68980700476,-133510.0296126174
48535.825759026804,-137812.79061641014
48796.807576887775,-134117.5464152024
45661.39866281825,-131689.36729674196
53118.60514293064,-133978.84178609788
58129.943246493116,-133616.92013140986
51106.27972246648,-140079.53508186364
48591.387461593724,-130989.81676994408
37160.427466371446,-141858.0003482006
34621.418286661734,-135531.35138644508
35383.81204795465,-133259.17598403737
41504.21559578285,-137165.97755786855
45355.835173456464,-127094.57048145297
45948.981339875376,-131799.38014638607
45991.196595877525,-134929.5815382708
47979.63550769549,-134705.70656993284
45764.03031874844,-140179.854133598
37601.78521095298,-133804.4091086469
35370.02943347825,-136383.05363120593
30119.716848735698,-133853.11552950554
24820.94109094923,-134605.98565499496
27076.024972306564,-127880.2306885657
30065.543186456664,-127676.79761579508
35951.797491807956,-131159.12744698685
35727.93252516608,-131194.72578761794
41334.99041463563,-130826.88386055313
41251.506806688616,-129239.43774399557
41787.73177447135,-132701.61852356268
39800.39713853435,-135291.83466026178
41964.663957212004,-133616.79094121582
38347.11107688071,-138719.89550452755
39266.30862733256,-129500.31198848729
42357.851744427,-128880.21538156345
41214.88172729546,-125489.70326115526
38171.01170467143,-131240.38372976315
38999.96758983785,-128182.96269642055
42751.50509361224,-138808.03444427863
42354.27727566089,-133406.505478725
39644.585576583166,-129966.50682375106
38086.2771426182,-137324.86044124514
37233.10072672577,-130150.2338570434
36898.09291169804,-137707.86235440773
41044.46717852075,-133292.07523980195
46229.98376522225,-135215.8714387316
44397.12207159225,-135823.2438393816
44010.953687925125,-127672.75477797775
45957.79703592521,-134111.60451917798
48564.87092195486,-134097.22231863096
50683.52632644703,-135806.4214342921
48614.62018183607,-133329.98831379676
51864.64439869975,-129519.4772837976
45811.90504889446,-134295.70561015638
44931.92916926299,-133751.9126689541
40928.40351931786,-136544.66039726662
39464.97091404337,-124829.2411954067
38532.45868137048,-128484.8925628688
38617.51780789939,-129822.6137658827
40687.097082174616,-130975.2280064285
43088.65995991521,-126885.18229721505
40497.75873309991,-129848.18729157829
39300.41949391365,-129876.79587708901
35203.646416276344,-124009.64099430198
35520.800697034225,-132038.74753053428
33350.131240874296,-133424.03428091263
33005.511531099095,-133805.58691136783
31268.786755519686,-136948.47839508814
36038.45804876345,-132962.42431344782
41741.922235089936,-136377.5108388739
41538.631512916065,-135057.98430313915
36559.532713033725,-133073.44151484518
36048.18850212637,-125789.3943528978
32150.115816839272,-131115.5966317399
38084.656323821284,-136383.77981197086
38221.946220257785,-129236.98205023163
40165.64310952218,-131310.45428716327
39171.0285847669,-131177.34228486705
37847.10416966956,-134219.64057048017
33019.30154457595,-133988.8769517053
27081.322998343618,-133594.20711946525
28255.683646141086,-131375.08235141225
25468.185260815662,-129640.27866335049
22265.304335006746,-134482.89844079173
25308.463755533332,-134024.52198247376
28704.05682706507,-130689.10287694025
29767.62736756075,-129542.94147889297
36714.58160739264,-132454.813732427
36601.597050411045,-129918.51657061662
32865.55816472089,-128813.47632488616
35782.66564458003,-130878.18029962358
37597.47628142475,-127632.29026501067
38935.209231416346,-138014.0177538452
45404.970924445195,-136032.8894345664
44260.314779337496,-135613.43146757942
47418.551962888916,-132210.88299246627
46163.1284985824,-137418.91844145246
45697.62916886341,-132961.37867568588
44337.868377946084,-132242.89659518967
45173.34943135886,-129682.10273874784
43169.75878886413,-132046.43616732635
40322.36380669649,-137143.16865392987
36051.65429526847,-129953.93918276232
34676.82790972188,-132484.0188515928
37063.69362348202,-130729.64901089518
34466.81034780585,-134656.0912332867
33661.568905540626,-126794.73425927789
24060.73536456027,-136546.9467272781
25764.111311459215,-135438.8087868706
23902.601148148533,-129793.96048758007
27462.137578605558,-137356.95343001484
31690.873293884448,-127041.80433876901
39801.86183540709,-134163.0233253154
46378.04197272658,-140384.38640684736
44655.406508287764,-133407.95088459933
48855.69262606464,-136327.56245125175
48901.20053365966,-135924.8141391801
52634.56301375851,-132710.52750207903
50177.54976718861,-134244.60608658107
50841.382994151674,-137564.41383522778
53735.653397405054,-125289.22082037276
54324.42417207395,-127946.45967977408
