realized_delta_bof,scr_values
21454.32092102908,-142914.17151351226
28425.655264873058,-159191.43134511553
23867.214984713588,-147256.05542868143
33037.50427024241,-152001.36854124616
33478.463614485925,-151995.20884482295
29402.625566785573,-151362.37817123847
22927.42137811694,-152404.28979736217
20350.125818162807,-154383.15240215464
21050.13267245423,-148161.30414746446
20504.14368551981,-152692.17790644174
28582.735847305274,-161756.53941593668
30683.970982086612,-151076.21301135863
33653.443209872465,-154187.66150776646
33594.990909582935,-164036.68564708158
36096.02559600433,-165943.87254364416
39377.688825937454,-150376.31263224932
41661.44851750322,-158094.8501626033
46596.284663930535,-151098.00118491822
48497.16593611415,-163515.2395281056
44922.97489207715,-153703.17884257378
43697.68980700476,-145287.03278348083
48535.825759026804,-153901.6099112057
48796.807576887775,-154110.4683047207
45661.39866281825,-153138.1001090872
53118.60514293064,-162285.3217685332
58129.943246493116,-151426.09566684847
51106.27972246648,-155874.8485052305
48591.387461593724,-149743.52097131708
37160.427466371446,-156385.95781289507
34621.418286661734,-165362.53170576878
35383.81204795465,-150650.96331243857
41504.21559578285,-148824.31007709808
45355.835173456464,-158290.96932052984
45948.981339875376,-167223.06224430422
45991.196595877525,-157269.74548919848
47979.63550769549,-147338.90878070425
45764.03031874844,-147583.73882610095
37601.78521095298,-160709.06522745115
35370.02943347825,-163098.00326957903
30119.716848735698,-164761.64065514412
24820.94109094923,-154742.97960029088
27076.024972306564,-156555.20332996477
30065.543186456664,-155906.8951289414
35951.797491807956,-145175.59365615458
35727.93252516608,-153937.26587492228
41334.99041463563,-161698.61839441292
41251.506806688616,-147908.77182539436
41787.73177447135,-149329.18705070775
39800.39713853435,-162286.04737439135
41964.663957212004,-169286.184565134
38347.11107688071,-145283.1550513556
39266.30862733256,-148469.84306005447
42357.851744427,-170398.3528723272
41214.88172729546,-169874.2377367937
38171.01170467143,-149815.76626755833
38999.96758983785,-150600.0874561891
42751.50509361224,-160152.12793632818
42354.27727566089,-157253.09956668143
39644.585576583166,-148863.97445009253
38086.2771426182,-157822.52204526262
37233.10072672577,-148349.42425970826
36898.09291169804,-155339.91606888745
41044.46717852075,-149332.28451607062
46229.98376522225,-156322.65463919588
44397.12207159225,-150474.466237742
44010.953687925125,-165277.70660403534
45957.79703592521,-163964.00989696
48564.87092195486,-158665.7416264693
50683.52632644703,-159360.79254004778
48614.62018183607,-167494.78109837137
51864.64439869975,-169212.85079456307
45811.90504889446,-155127.54297789407
44931.92916926299,-149217.437019791
40928.40351931786,-159706.33612569643
39464.97091404337,-157187.22261786205
38532.45868137048,-155427.04283773515
38617.51780789939,-158288.7030210062
40687.097082174616,-155800.2692364602
43088.65995991521,-154839.57028406044
40497.75873309991,-160128.60649706284
39300.41949391365,-152693.50413461425
35203.646416276344,-141136.30603283248
35520.800697034225,-166988.02715707058
33350.131240874296,-157720.85895401845
33005.511531099095,-151059.3040861931
31268.786755519686,-139096.91752827936
36038.45804876345,-150476.8143209481
41741.922235089936,-155637.48437798058
41538.631512916065,-153561.9819436774
36559.532713033725,-150981.29224172968
36048.18850212637,-141103.55862351914
32150.115816839272,-152882.952656231
38084.656323821284,-145118.61282751441
38221.946220257785,-140848.20411927882
40165.64310952218,-146893.1176389414
39171.0285847669,-150979.8031252066
37847.10416966956,-141752.67634621402
33019.30154457595,-156208.94595853356
27081.322998343618,-148363.47692485387
28255.683646141086,-156742.13341093634
25468.185260815662,-160990.12332412438
22265.304335006746,-144136.13841848844
25308.463755533332,-155782.51712527382
28704.05682706507,-153584.23679841147
29767.62736756075,-167702.5080661755
36714.58160739264,-152808.83467314963
36601.597050411045,-154230.70947953127
32865.55816472089,-152430.7766080089
35782.66564458003,-153626.61552600842
37597.47628142475,-163307.00026777934
38935.209231416346,-157042.9973566964
45404.970924445195,-146507.3562832427
44260.314779337496,-149135.9403557222
47418.551962888916,-154656.5378366945
46163.1284985824,-148677.51728501474
45697.62916886341,-148639.07849924138
44337.868377946084,-151532.9640776529
45173.34943135886,-159362.90819689073
43169.75878886413,-156349.15035962232
