values
920270.6265380726
921943.8804430779
921740.288820938
920318.2201039997
925753.0992395165
922705.5717528276
925277.8924003938
916765.3069521865
921877.8271600289
923602.6651663039
921943.8367641885
921951.5759042624
925750.2067981733
921702.4937342707
923884.4636937577
924163.2738636681
926807.6865561312
923563.5120037571
922737.4250444687
922894.2320580645
922874.830997711
917988.7038640009
918387.8930713682
924574.8855944875
922068.3892369542
922130.4073197922
920855.739517496
920482.573200868
924060.2537408626
924765.3213697039
922817.8607367356
920708.3770663409
922948.0717933932
923183.2575441392
923598.2658420319
921664.6768942606
920432.3476918734
921605.5180067475
925240.9607602116
924216.9232824884
922363.0193680673
924279.8991860794
928247.0987792406
926568.2610401976
922214.891131442
923596.7486853002
922794.2058038154
922427.4867990009
923939.8304529784
921909.1664430696
922006.9670166714
924113.4952437617
922268.521145322
921975.7289744782
924756.5470188757
923320.6733642891
922680.1220729385
925812.3049162377
924398.6035953852
923504.8728097535
922031.2508155104
921599.3994781097
920326.3997262464
923146.6003867189
921191.3580883341
923283.4570685946
923024.0026681846
921869.2701447437
923948.490437179
923650.7278840577
926333.4268253372
921477.5615476362
924175.1715220122
919350.9339903804
925118.821950591
925238.2001289064
924229.0075361
919950.7303177213
920853.0829205147
923793.0418262607
926162.6279884264
924346.0460813303
922805.9451477159
927809.7458187456
922098.420723705
927687.4246744766
923399.8629221353
926642.8376336107
924554.9180916231
922450.9918643745
924243.9321412256
927299.0545146859
920761.8679031286
924713.3181659782
924232.0649820612
925812.0803817023
925518.4872864517
924924.1647285724
921935.7104656433
925627.6653948664
923430.037880736
921718.4056475691
923381.004558023
925577.7310563695
927835.1598366129
923444.1502933712
923068.9275670778
928353.6413524192
920362.298465434
928763.6273156615
928132.3130981149
928636.3852571399
924429.3470405891
925015.3609633135
926318.2565694326
928777.0553105829
927207.909183384
925267.440289217
921377.0900934577
925866.962454008
923170.7023625617
924910.4010053815
927769.5789847118
925997.8638746276
926912.701616453
925408.110417318
928320.1643304734
926104.571949907
929648.5255741056
925491.4761108878
926566.4824297662
927686.8681774319
927978.4042529471
925834.7976086375
926022.592899543
931472.2183190383
931599.6590504863
927269.1184875073
927758.6603968306
922347.357880376
925834.5010417596
924239.4712526016
927503.8652841997
927519.4737110615
929353.6485596347
928299.5806242244
928188.1102469598
923746.4675486104
930458.8062204496
929938.8183303563
930157.0247430579
929042.6320407646
924750.8169806238
929201.1679662268
928817.7946947339
928352.7154127847
927529.6885464345
925034.5863742378
929524.7858452625
927633.3707794517
927055.6173829931
928026.6689860047
928952.777263193
925594.8334771503
927246.6498790751
930159.7117406938
926089.048831519
929184.5993185812
929960.4564028942
928602.2312495427
924119.7469795486
927455.1290899938
930104.6135213239
926146.0442172058
930483.256926691
927426.4294016252
925831.0902990474
927953.4859952541
925971.2632719426
924912.5881569288
931594.1459026692
927561.3987952451
926504.3065912615
931127.1192745004
923210.2303470497
930725.4537291856
924575.7170743912
929734.2205854248
921773.3047967044
927376.5037079589
921851.724341764
925741.5704382606
926805.725560695
925713.8737929985
926915.884563519
925018.5404813762
925472.0604397166
925534.0065176969
926759.6734232863
926357.2162372104
927383.3789380032
927190.3468616782
929116.1251716991
926220.5745795417
925373.2157066135
927213.5623367322
927943.3496836631
923026.2289679322
928649.6028208004
924136.8146647129
923851.4080412183
924666.3657635553
928280.9108223381
922036.1950186499
925417.1863261112
923233.6698764717
922643.5666118128
925634.8944395612
917852.7336702227
918810.5462262781
921387.4443372282
923397.2494894157
924758.6281760127
926093.2609784787
925871.7856932852
926797.9333673142
926611.335843563
922639.2246431564
928423.0134790726
926403.2040860472
927232.5111457462
924891.802594958
928138.0604187956
925743.7501856661
924079.3514158163
922456.0296349935
919771.2800148876
922731.1431362436
923038.122574614
924021.9026691598
919667.343078075
923875.1371712632
920963.1900153606
926288.1251326068
926755.2245719422
921951.4992504591
