SCR,Realized_Delta_BOF
"tensor(683144.7467, dtype=torch.float64)",1003092.7677986545
"tensor(678187.9816, dtype=torch.float64)",1008782.433104348
"tensor(695753.3853, dtype=torch.float64)",1015475.7868207882
"tensor(689755.4059, dtype=torch.float64)",1014488.9144541018
"tensor(690210.0146, dtype=torch.float64)",1023655.5509929574
"tensor(692202.6795, dtype=torch.float64)",1029244.5862730473
"tensor(702211.9784, dtype=torch.float64)",1025097.8040995889
"tensor(688746.5356, dtype=torch.float64)",1022500.0188948814
"tensor(685463.9689, dtype=torch.float64)",1009686.16912767
"tensor(688214.8131, dtype=torch.float64)",1008438.4689740072
"tensor(687434.8946, dtype=torch.float64)",1005063.3292141588
"tensor(693488.1081, dtype=torch.float64)",1011987.1897198533
"tensor(690783.0422, dtype=torch.float64)",1011748.8069176363
"tensor(694131.5590, dtype=torch.float64)",1008423.1512055357
"tensor(684605.3936, dtype=torch.float64)",1009977.569804319
"tensor(695197.4170, dtype=torch.float64)",1009480.6008290254
"tensor(703462.8468, dtype=torch.float64)",1009593.4683617571
"tensor(698592.6921, dtype=torch.float64)",1003984.55983066
"tensor(698559.4729, dtype=torch.float64)",999093.248802594
"tensor(688934.2892, dtype=torch.float64)",996774.1615054953
"tensor(683761.8164, dtype=torch.float64)",992853.8651387219
"tensor(695183.8628, dtype=torch.float64)",993007.4265097937
"tensor(698478.7509, dtype=torch.float64)",995673.2617999171
"tensor(694439.8321, dtype=torch.float64)",999985.1117733658
"tensor(675195.1300, dtype=torch.float64)",1001453.3006071604
"tensor(685704.6074, dtype=torch.float64)",1005057.4986475324
"tensor(686479.4258, dtype=torch.float64)",1005529.8395403409
"tensor(674574.2719, dtype=torch.float64)",1005279.3304409162
"tensor(690069.4446, dtype=torch.float64)",1003584.478340576
"tensor(674742.7394, dtype=torch.float64)",1002803.1564037276
"tensor(688576.7882, dtype=torch.float64)",1006236.1597966345
"tensor(685758.4656, dtype=torch.float64)",1006886.4836903053
"tensor(673051.8378, dtype=torch.float64)",1011174.0870559614
"tensor(679244.8312, dtype=torch.float64)",1011673.2580786252
"tensor(668124.7469, dtype=torch.float64)",1011905.7365356548
"tensor(692860.1717, dtype=torch.float64)",1014512.288491515
"tensor(688044.4194, dtype=torch.float64)",1019115.7688385535
"tensor(686063.1737, dtype=torch.float64)",1020894.8135248625
"tensor(682841.0258, dtype=torch.float64)",1021621.7419039046
"tensor(687948.2112, dtype=torch.float64)",1022435.5642674387
"tensor(678172.3557, dtype=torch.float64)",1022816.7439836224
"tensor(691435.0170, dtype=torch.float64)",1023699.4620170206
"tensor(700808.1269, dtype=torch.float64)",1028587.9402842955
"tensor(705293.0363, dtype=torch.float64)",1034986.2444472737
"tensor(700919.1774, dtype=torch.float64)",1035492.3428833451
"tensor(681931.8742, dtype=torch.float64)",1038599.9231494776
"tensor(707198.5925, dtype=torch.float64)",1035861.5373138078
"tensor(698903.3695, dtype=torch.float64)",1038805.5915465333
"tensor(694246.8636, dtype=torch.float64)",1041431.1585628664
"tensor(701636.6976, dtype=torch.float64)",1041249.8941991301
"tensor(703494.6804, dtype=torch.float64)",1046172.4909106862
"tensor(692211.7607, dtype=torch.float64)",1048238.7289652388
"tensor(691896.3866, dtype=torch.float64)",1046238.1134270565
"tensor(703307.2085, dtype=torch.float64)",1042965.17784838
"tensor(677790.7887, dtype=torch.float64)",1039671.2230591818
"tensor(691697.8836, dtype=torch.float64)",1036859.1652767871
"tensor(689051.6435, dtype=torch.float64)",1035735.7975178075
"tensor(700668.1197, dtype=torch.float64)",1036680.2978863792
"tensor(682594.2271, dtype=torch.float64)",1036194.2593033444
"tensor(701612.2467, dtype=torch.float64)",1035399.6329257253
"tensor(709648.7439, dtype=torch.float64)",1037260.0379284939
"tensor(711491.1187, dtype=torch.float64)",1037896.9446485026
"tensor(695858.8530, dtype=torch.float64)",1038313.9299102884
"tensor(678320.0575, dtype=torch.float64)",1038662.3293800121
"tensor(687654.0253, dtype=torch.float64)",1041013.8511147501
"tensor(686189.1582, dtype=torch.float64)",1040351.3411315815
"tensor(683849.4556, dtype=torch.float64)",1040364.4098327534
"tensor(690987.5376, dtype=torch.float64)",1041783.4715267393
"tensor(674185.0915, dtype=torch.float64)",1039696.8256821595
"tensor(696114.9813, dtype=torch.float64)",1036642.6943505129
"tensor(685106.3036, dtype=torch.float64)",1037719.7476763602
"tensor(659187.3531, dtype=torch.float64)",1036876.1742518657
"tensor(684123.3520, dtype=torch.float64)",1036502.812132974
"tensor(686575.2122, dtype=torch.float64)",1035083.2822423133
"tensor(689300.3185, dtype=torch.float64)",1036185.763334064
"tensor(672490.5101, dtype=torch.float64)",1037203.1754191085
"tensor(676895.9575, dtype=torch.float64)",1035843.4744886059
"tensor(674862.3623, dtype=torch.float64)",1035263.7909512629
"tensor(666077.8098, dtype=torch.float64)",1028772.5471411819
"tensor(684471.8207, dtype=torch.float64)",1027323.2538186992
"tensor(686004.5407, dtype=torch.float64)",1027685.103091025
"tensor(676240.9047, dtype=torch.float64)",1022726.0227920723
"tensor(685321.1085, dtype=torch.float64)",1021590.5255516933
"tensor(693000.9637, dtype=torch.float64)",1024218.9620376161
"tensor(683740.5933, dtype=torch.float64)",1024969.6760451008
"tensor(677431.4695, dtype=torch.float64)",1031101.2406568973
"tensor(672727.3134, dtype=torch.float64)",1033381.6866243839
"tensor(686082.9336, dtype=torch.float64)",1031803.23117591
"tensor(669708.7603, dtype=torch.float64)",1035558.6405445973
"tensor(681590.5081, dtype=torch.float64)",1040548.031616935
"tensor(666321.8366, dtype=torch.float64)",1039996.9466154483
"tensor(688012.0958, dtype=torch.float64)",1041866.8605722778
"tensor(687767.7273, dtype=torch.float64)",1041262.3985960785
"tensor(678437.2433, dtype=torch.float64)",1041457.860027158
"tensor(688129.0101, dtype=torch.float64)",1041503.3745014329
"tensor(682359.9274, dtype=torch.float64)",1039773.7070694257
"tensor(693801.0282, dtype=torch.float64)",1035571.9576645865
"tensor(696482.1985, dtype=torch.float64)",1036323.8036704115
"tensor(691285.0439, dtype=torch.float64)",1036585.7741718851
"tensor(693269.3173, dtype=torch.float64)",1035993.7803123085
"tensor(687753.7610, dtype=torch.float64)",1035436.0618646021
"tensor(686950.1845, dtype=torch.float64)",1035302.376476268
"tensor(692600.2090, dtype=torch.float64)",1035476.7906636007
"tensor(686686.6307, dtype=torch.float64)",1033031.5409858366
"tensor(683328.5381, dtype=torch.float64)",1032557.9396183244
"tensor(674665.1809, dtype=torch.float64)",1027468.8374648562
"tensor(672459.2622, dtype=torch.float64)",1027697.8945729856
"tensor(674897.3021, dtype=torch.float64)",1025806.1253468576
"tensor(676425.0585, dtype=torch.float64)",1025468.0778031296
"tensor(667825.8140, dtype=torch.float64)",1029891.8946060711
"tensor(676956.6746, dtype=torch.float64)",1037603.3678964325
"tensor(666819.4461, dtype=torch.float64)",1043729.7931204144
"tensor(681471.4429, dtype=torch.float64)",1044055.2508344225
"tensor(670695.4739, dtype=torch.float64)",1054411.4345767489
"tensor(667553.8592, dtype=torch.float64)",1053264.0887205969
"tensor(673923.3211, dtype=torch.float64)",1054411.0000320196
"tensor(670004.7251, dtype=torch.float64)",1052224.43342041
"tensor(688897.7629, dtype=torch.float64)",1051605.198196814
"tensor(685929.9783, dtype=torch.float64)",1055378.4070369438
"tensor(678356.6183, dtype=torch.float64)",1057365.8885729886
"tensor(682235.4587, dtype=torch.float64)",1059779.2972676589
"tensor(682709.8962, dtype=torch.float64)",1059935.0549201802
"tensor(686767.3844, dtype=torch.float64)",1060201.007008511
"tensor(673327.6861, dtype=torch.float64)",1060678.5571165716
"tensor(674856.6704, dtype=torch.float64)",1063289.5121552853
"tensor(664435.2152, dtype=torch.float64)",1062851.7675367782
"tensor(676773.4599, dtype=torch.float64)",1062821.2265879614
"tensor(669662.0974, dtype=torch.float64)",1063233.1183270114
"tensor(683885.6458, dtype=torch.float64)",1064593.3079121327
"tensor(675751.0710, dtype=torch.float64)",1067654.8421309423
"tensor(671508.6215, dtype=torch.float64)",1067227.5287904174
"tensor(668879.1372, dtype=torch.float64)",1068996.533605774
"tensor(665262.4896, dtype=torch.float64)",1069377.5713860362
"tensor(673006.8376, dtype=torch.float64)",1069742.9144386868
"tensor(671744.5061, dtype=torch.float64)",1069388.2603405062
"tensor(664959.0156, dtype=torch.float64)",1068418.284891916
"tensor(689628.8018, dtype=torch.float64)",1066775.3303260463
"tensor(671331.7164, dtype=torch.float64)",1064294.6376731175
"tensor(672688.0160, dtype=torch.float64)",1063714.3706855678
"tensor(670718.1686, dtype=torch.float64)",1062551.135639319
"tensor(684849.5806, dtype=torch.float64)",1061531.1230892066
"tensor(672930.7479, dtype=torch.float64)",1062107.6113155223
"tensor(684330.2299, dtype=torch.float64)",1062294.0279874448
"tensor(669052.8082, dtype=torch.float64)",1059249.0092812479
"tensor(670162.4528, dtype=torch.float64)",1060249.004636815
"tensor(672732.3517, dtype=torch.float64)",1060330.5547556698
"tensor(667919.8120, dtype=torch.float64)",1060576.8159126001
"tensor(665511.9992, dtype=torch.float64)",1063200.5252009404
"tensor(670310.4564, dtype=torch.float64)",1062520.334029643
"tensor(667305.1651, dtype=torch.float64)",1062203.4325776994
"tensor(681391.4006, dtype=torch.float64)",1061970.6828438714
"tensor(681319.9708, dtype=torch.float64)",1062141.6913259798
"tensor(666780.7457, dtype=torch.float64)",1062063.0220047524
"tensor(668558.6457, dtype=torch.float64)",1061667.775387187
"tensor(667339.8470, dtype=torch.float64)",1061160.6849426313
"tensor(670452.1392, dtype=torch.float64)",1060540.1771921217
"tensor(669407.8012, dtype=torch.float64)",1058310.8769273823
"tensor(665696.6266, dtype=torch.float64)",1055967.5854862193
"tensor(687511.9530, dtype=torch.float64)",1056157.892296256
"tensor(672717.1857, dtype=torch.float64)",1056853.0493605004
"tensor(680430.9754, dtype=torch.float64)",1056544.7475975105
"tensor(668922.2693, dtype=torch.float64)",1057317.6825370959
"tensor(679059.2035, dtype=torch.float64)",1057931.1465998227
"tensor(674013.8033, dtype=torch.float64)",1061199.8664427048
"tensor(699242.2524, dtype=torch.float64)",1062725.5121531838
"tensor(694413.1897, dtype=torch.float64)",1065875.1732095538
"tensor(699963.0568, dtype=torch.float64)",1063516.4372979957
"tensor(682425.0975, dtype=torch.float64)",1062583.542058959
"tensor(692426.7353, dtype=torch.float64)",1063087.063967873
"tensor(688595.3454, dtype=torch.float64)",1063569.6656446059
"tensor(687261.3262, dtype=torch.float64)",1062800.3626545465
"tensor(692683.4345, dtype=torch.float64)",1062242.961813478
"tensor(684679.9013, dtype=torch.float64)",1062034.2040925913
"tensor(671901.0686, dtype=torch.float64)",1062071.7559632077
"tensor(676509.3398, dtype=torch.float64)",1063518.8058733288
"tensor(674142.5045, dtype=torch.float64)",1064696.5321849685
"tensor(690677.1678, dtype=torch.float64)",1063140.0895254596
"tensor(683495.3944, dtype=torch.float64)",1062282.3441470535
"tensor(691777.6504, dtype=torch.float64)",1062408.4085936977
"tensor(673438.4854, dtype=torch.float64)",1062691.5682768791
"tensor(690475.1551, dtype=torch.float64)",1062067.6393307748
"tensor(676994.0950, dtype=torch.float64)",1062720.2999613355
"tensor(672427.5749, dtype=torch.float64)",1061608.5264484645
"tensor(668404.4353, dtype=torch.float64)",1060879.941342672
"tensor(711985.5363, dtype=torch.float64)",1061642.0739236698
"tensor(713551.6529, dtype=torch.float64)",1067947.76376407
"tensor(708829.9990, dtype=torch.float64)",1068663.7029330581
"tensor(723025.7784, dtype=torch.float64)",1071263.1856843266
"tensor(719986.4303, dtype=torch.float64)",1079871.1299565313
"tensor(710201.8213, dtype=torch.float64)",1085362.429636217
"tensor(716611.1777, dtype=torch.float64)",1079659.0615177383
"tensor(728322.8690, dtype=torch.float64)",1075642.3331617534
"tensor(732162.0803, dtype=torch.float64)",1072169.4617208256
"tensor(761478.9204, dtype=torch.float64)",1076234.7996016534
1000000.0,1087594.8862880806
1000000.0,1122743.4391423895
1000000.0,1119277.9628826117
1000000.0,1130589.9293524234
1000000.0,1168739.121291567
1000000.0,1174498.0549069496
1000000.0,1212582.1316548223
1000000.0,1229240.8718426363
1000000.0,1276377.0325256253
1000000.0,1305788.0280751074
1000000.0,1307725.5049980772
1000000.0,1332796.1462557304
1000000.0,1323124.9166898464
1000000.0,1302365.1436522047
1000000.0,1266656.5541750763
1000000.0,1252327.0249277113
1000000.0,1247560.223443194
1000000.0,1240061.2419537776
1000000.0,1250647.3458905157
1000000.0,1254645.876486615
1000000.0,1263633.3767931454
1000000.0,1263391.8772397176
1000000.0,1250835.9395949962
1000000.0,1247484.186650355
1000000.0,1216928.5163283106
1000000.0,1190176.253834456
1000000.0,1191652.4424143853
1000000.0,1192051.156417716
1000000.0,1187815.4312858887
1000000.0,1191851.3916742601
1000000.0,1203565.5477095484
1000000.0,1203220.539621008
1000000.0,1202595.6205209664
1000000.0,1207795.9544881906
1000000.0,1208619.2902078514
1000000.0,1207128.502898882
